cleaned_tweet_text,hashtags,emails
rt  see  days coachella httptcodibicsywh,['#Coachella2015'],"['@zzzach_scott:', '@hannah_frog']"
got weekend  pass coachella pumped marking music festival my_ httptcokkxsyjv,"['#coachella2015', '#music']",[]
still trying find tickets coachella hmu selling,['#Coachella2015'],[]
quoted storify story coachella tickets sold out httptcoqptzwcixl,"['#Storify', '#Coachella2015']","['@RMSpuhler', '@mimi3000', '@meiwen_liang']"
anyone extra car camping ticket hit up group needs one coachella coachella coachellatickets,"['#Coachella', '#Coachella2015', '#Coachellatickets']",[]
rt  coachella lineup arrived  acts must see years festival httptcoiwzxoxfihj http_,['#Coachella2015'],['@Modelinia:']
rt  mileys getting ready coachella bleach blonde ___ httptcokmvqprjyl,['#Coachella2015'],['@OurFemaleRebel:']
rt  looking buy weekend one pass coachella coachella,"['#coachella', '#Coachella2015']","['@JSterns7:', '@coachella', '@TexasEDMFamily']"
regret buying edclv tickets want go coachella bad ______ wants two edc tickets insomniac coachella ____,"['#EDCLV', '#insomniac', '#Coachella2015']",[]
weekend  baby coachella wk ,"['#Coachella2015', '#wk2']",[]
coachella week two yaaaaassssssss __________,['#Coachella2015'],['@xMusicalCells']
see dessert  coachella roundthree excited itsallhappening,"['#Coachella2015', '#RoundThree', '#Excited', '#ItsAllHappening']","['@Kyra_IX', '@sammyslammr']"
rt  guess gonna wiggle wiggle coachella coachella coachella kpop hellovenus httptcox_,"['#Coachella2015', '#Coachella', '#kpop', '#hellovenus']","['@sleazystfn:', '@chHELLOVENUS']"
see yall coachella _ coachella,['#Coachella2015'],[]
rt  soon ____ coachella,['#Coachella2015'],"['@heyittsdreah:', '@_Kellavilla']"
two words never want seecoachella httptcoziavindvfd,['#Coachella2015'],[]
rt  yeah im looking weekend  coachella ticket please rt help find one thanks coachella coachellaforsa_,"['#Coachella2015', '#coachellaforsa']",['@booyouwhores:']
looking two ga coachella coachella tickets  car camping crychellak,"['#Coachella', '#Coachella2015', '#crychella2k15']",[]
coachella actually happening_,['#Coachella2015'],[]
rt  okay fixed fifthharmony coachella coachella httptcotngjqhqkt,"['#FifthHarmony', '#Coachella', '#Coachella2015']",['@allison_huntley:']
rt  looking coachella passes someone savior please,['#coachella2015'],['@elithekidd:']
rt  comes go james bond mode coachella,['#Coachella2015'],['@nick_thaAnimal:']
ready coachella,['#Coachella2015'],[]
see yall  coachella ____ httptcojjwpynsetu,['#Coachella2015'],['@']
looking coachella passes someone savior please,['#coachella2015'],[]
want write essay wont coachella httptcotqersdbz,['#Coachella2015'],[]
 looking buy coachella car camping pass weekend  hmu coachella coachella carcamping,"['#COACHELLA', '#Coachella2015', '#carcamping']",['@PK_Ike:']
want go coachella especially announced,['#Coachella2015'],"['@Drake', '@FKAtwigs']"
coachella whoa weeknd amp drake performing,['#Coachella2015'],[]
dig guys much cant wait see coachella two dudes creating incredible sounds httpstcotjzwbarua,['#Coachella2015'],['@royalblooduk']
got coachella weekend  tickets cant wait cross bucket list,['#Coachella2015'],[]
finally_ coachella week  come,['#Coachella2015'],[]
coachella coming ya __ coachella hellyeah httptcouyqbkvpu,"['#coachella2015', '#hellyeah']",[]
rt   lineup here coachella httptcotnorbbvufz cue flower headband display front  center,['#Coachella2015'],"['@kaskade:', '\x89ÛÏ@Forever21:']"
youre selling coachella week  pass hmu,['#Coachella2015'],[]
rt  fuck dude want go baddddd coachella httptcobhixojirow,['#Coachella2015'],['@MonicaFulmer:']
  festival passes sell  minutes httptcogyrlxljmn coachella _,['#Coachella2015'],"['\x89ÛÏ@MyDesert:', '.@coachella', '@maddiepenaa']"
might well plan ahead april non happy early th birthday moi moi coachella_ httptconczewemg,['#coachella2015'],[]
say thank god presale amp coachella,['#Coachella2015'],['@EricaTabano']
honestly want see steely dan coachella,['#Coachella2015'],[]
way start new year coachella,['#coachella2015'],"['@katrina0801', '@coachella']"
dreaming lala land tonight coachella,['#Coachella2015'],"['@mattyod', '@coachella']"
rt  epic reunion coachella,['#Coachella2015'],"['@JamesAppleg8:', '@Axwell', '@Ingrosso', '@SteveAngello']"
people vacation hawaii every year go europe choose poo f portapotty  days coachella,['#Coachella2015'],[]
coachellatickets sold less  mins get yours coachella httptcothykvy,"['#Coachellatickets', '#Coachella2015']",['@coachella']
could cry happiness _____ coachella,['#Coachella2015'],[]
great line coachella whos going coachella year,['#Coachella2015'],[]
artists know stuck me gt must see me coachella httptcozgiafqgm,['#Coachella2015'],[]
epic reunion coachella,['#Coachella2015'],"['@Axwell', '@Ingrosso', '@SteveAngello']"
rt  something ears wait standby page coachella coachella httpstcovhdckuxf,"['#Coachella', '#Coachella2015']",['@koufaxmusic:']
httpstcodotqgvwdp  coachella calling names,['#Coachella2015'],['@zayngos_mangos']
weekend  ___ coachella camping,"['#Coachella2015', '#camping']",[]
sold part soul purchased coachella ticket really could care less coachella ____,['#Coachella2015'],[]
one ask hang fun things w require money summer bc coachella left ___ brokeaf,"['#Coachella2015', '#brokeaf']",[]
 honestly got adrenaline rush fucking getting tickets coachella god bless,['#coachella2015'],"['\x89ÛÏ@jaywoodzs:', '@caaiiit_\x89Û\x9d']"
got tickets coachella freaking excited cancel janfebmar skip straight april already,['#Coachella2015'],[]
buzzing _____ wait april th ___________ coachella,['#Coachella2015'],[]
one day travel usa go coachella __ coachella makeithappen,"['#Coachella2015', '#MakeItHappen']",[]
worst text ever receive coachella httptcokescytxwu,['#Coachella2015'],[]
psyched coachella _,['#Coachella2015'],['@HannahhRay']
wait coachella made broke _,['#Coachella2015'],[]
ya bitches  coachella httptcouvzwoqxujo,['#Coachella2015'],[]
 iz happeninnn coachella httptcosahndoq cant wait,['#Coachella2015'],['\x89ÛÏ@PipaVal:']
bought coachella ticket see perform worlds live gotta hear sing lionhearted dude worlds coachella,"['#Worlds', '#Coachella2015']",['@porterrobinson']
tickets officially booked coachella stoked coachella happydance httptcokeknohdoy,"['#STOKED', '#coachella2015', '#happydance']",[]
get coachella tickets fucking die coachella,"['#Coachella', '#Coachella2015']",[]
well going bananas right ______ coachella httptcoqybvsfzjj,['#Coachella2015'],[]
new coachella line up would love going____ coachella httptcofytezrwjye,"['#Coachella', '#Coachella2015']",[]
need airplane ticket hotel coachella,['#Coachella2015'],[]
ahh  mins staring comp screen waiting  purchase tix worth cantwait coachella httptcoxuultimuz,"['#cantwait', '#Coachella2015']","['@the', '@coachella']"
waited  dot weekend  tickets sold  mins later sosad coachella,"['#sosad', '#Coachella2015']",[]
that friends always take advantage presale coachella,['#Coachella2015'],[]
__let countdown begin brn_ttt coachella flo finally _ httptcoqalebwzo,"['#coachella2015', '#FLO', '#FINALLY']",['@hanabolabola\x89Û_']
blood pressure never higher coachella ticketprobs,"['#Coachella2015', '#ticketprobs']",[]
take youuuuuuu rt  iz happeninnn coachella httptcouwygvjhms,['#Coachella2015'],['@PipaVal:']
thinking sneaking coachella see perform _,['#Coachella2015'],['@MarinasDiamonds']
hell yeanorwegian act  really really think lineup coachella  worth going,['#Coachella2015'],"['@toddterjeolsen', '@ellenwoodEP:']"
want go coachella __ coachella,['#Coachella2015'],[]
iz happeninnn coachella httptcopoihkdb,['#Coachella2015'],[]
lol call ticketmaster cause literally got friends through_ coachella chipotle,"['#Coachella2015', '#chipotle']",[]
 passes sold fast still get travel packages tickets httptcoevwxgaa coachella coachella,"['#Coachella', '#Coachella2015']",['.@coachella']
got coachella ticket vip doe coachella coachella,"['#Coachella2015', '#Coachella2015']",[]
conversations darlene_ coachella drake need httptcoitcnjieye,"['#Coachella2015', '#Drake', '#need']",[]
soooooo excited  coachella coachella barely decided go less  hours ago _ httptcochylujvxt,"['#coachella2015', '#coachella']",[]
weekend one turn coachella backtoback _______,"['#Coachella2015', '#BackToBack']",[]
body ready coachella __ httptcovxeipih,['#COACHELLA2015'],[]
holy crap take long rt sold coachella coachella rt  thank you ,"['#Coachella', '#Coachella2015']","['@TheScenestar', '""@coachella:']"
rt  yeaaaaaaahhhhh got tickets coachella,['#coachella2015'],['@FrizzyJimz:']
go ya  coachella,['#Coachella2015'],['@Drake']
hehe got coachella ticket __ weekend coachella,"['#weekend2', '#Coachella2015']",[]
guess spending st birthday ______ _coachella st httptcowksaab,"['#coachella2015', '#21st']",[]
coachella sold matter  minutes come surprise lineup,['#Coachella2015'],[]
official__ coachella coming ya ,['#Coachella2015'],[]
rt  one festival hype coachella,"['#hype', '#coachella2015']","['@Tony_sarandos:', '@petetong', '@Alesso', '@Ingrosso', '@KygoMusic', '@kaskade']"
tough call live missed ac_dc coachella year,"['#Coachella2015', '#year5']",[]
coachella tickets purchased yas coachella,['#Coachella2015'],[]
cant wait dance days away beautiful ladies coachella coachella,"['#Coachella', '#Coachella2015']","['@AlisaMarieMay', '@kteeoh']"
crazy fast coachella sells _ coachella,['#Coachella2015'],[]
aaaaand chellas sold out hope friends got tickets im going solo coachella,['#Coachella2015'],[]
literally almost mother fuggin heart attack w bew getting ticket zawlll gooood see soon coachella _________,['#Coachella2015'],[]
got going tribulations today major heart palpitations man lol coachella heartracing refreshpage swing,"['#lol', '#Coachella2015', '#heartracing', '#refreshpage', '#swing']",['@coachella']
soon two weekends twice year three weekends coachella coachella ticketprobz ___ ineedtickets,"['#coachella2015', '#Coachella', '#ticketprobz', '#INEEDTICKETS']",['@coachella']
round  come _____ coachella _,['#Coachella2015'],['@4realdug']
april cant come soon enough coachella weekend httptcokpgguqpcs,"['#Coachella2015', '#Weekend2']",['@coachella']
cant wait april coachella __________,['#Coachella2015'],[]
trynna coachella tickets like coachella httptcoylphzqeqt,['#Coachella2015'],[]
weekend  sold coachella httptcokfcwljsa,['#Coachella2015'],[]
rt  go looking coachella wknd  car camping pass hate lineup want offload dm me coachella coa_,"['#Coachella', '#Coa']",['@kaitiecg:']
ahhhhhhhhh could burst excited coachella ________,['#Coachella2015'],[]
got coachella weekend  tickets biggie __ coachella coachella weekend coachellaweekend hashtagoverload,"['#coachella', '#Coachella2015', '#weekend1', '#coachellaweekend1', '#hashtagoverload']",[]
wow coachella sold  minutes __,['#Coachella2015'],[]
wait real coachella,['#Coachella2015'],[]
official coachella come __ httptcotofedauhv,['#Coachella2015'],[]
wish going coachella,['#Coachella2015'],[]
yeaaaaaaahhhhh got tickets coachella,['#coachella2015'],[]
rt  coachella  hyped __ coachella weekend,"['#Coachella2015', '#Weekend2']",['@Bailelicious:']
getting love russia congrats coachella httptcoocgwejq,['#Coachella2015'],['@MOMOMOYOUTH']
goes coachella _ httptcodhucmtqgp,['#coachella2015'],[]
ready set __ coachella httptcofpvfprrdbw,['#Coachella2015'],[]
even though prices arm leg going worth end coachella,['#Coachella2015'],[]
rt  need car camping set coachella,['#Coachella2015'],['@mgblue92:']
ucla good wifi coachella,['#Coachella2015'],[]
got tickets coachella ______,['#Coachella2015'],[]
thisjusthappened yay excited coachella imsobroke lol soworthit httptcovtngkhva,"['#Thisjusthappened', '#Coachella2015', '#imsobroke', '#soworthit']",[]
rt  got ticket _______________ coachella,['#Coachella2015'],['@ayotiffany22:']
something ears wait standby page coachella coachella httpstcovhdckuxf,"['#Coachella', '#Coachella2015']",[]
yessssssss coachella ready ______ httptcoiotuhrxdc,['#Coachella2015'],[]
sitting standby page coachella tickets coachella httptcosuvhruim,['#Coachella2015'],[]
bought ticket weekend  coachella happy early birthday me couldibemorela amibasicnow labucketlist,"['#Coachella2015', '#couldIBEmoreLA', '#amibasicnow', '#LAbucketlist']",[]
need car camping set coachella,['#Coachella2015'],[]
got ticket _______________ coachella,['#Coachella2015'],[]
coachella tickets sold stupid fast,['#Coachella2015'],['@coachella']
coachella comin,['#Coachella2015'],[]
may odds favor __ coachella,['#Coachella2015'],[]
rt  got hoes see ya weekend  coachella,['#coachella2015'],"['@dfuckind:', '@LilTifff', '@Fuuckinsarah']"
come again ____ coachella,['#Coachella2015'],"['@coachella', '@MaddisonDelaney', '@adriannamcortes']"
free showers cell phone charging stations campground lots o  coachella gtgt tomorrowworld coachella,['#Coachella2015'],[]
day got better _ coachella httptcobxttprxuv,['#Coachella2015'],[]
official coachella,['#Coachella2015'],[]
want go coachella __ httptcovoemdgpem,['#Coachella2015'],[]
anxiety attacks afternoon coachella,['#Coachella2015'],[]
pumped axwell amp ingrosso  coachella,['#Coachella2015'],[]
 fact kyram got stand less  minutes recordtime coachella wait ________,"['#recordtime', '#Coachella2015']",['\x89ÛÏ@ChrisR_16:']
looks like coachella,['#Coachella2015'],['@coachella']
red coachella  ticketsdone coachella coachella get shape,"['#Coachella', '#Coachella2015']",[]
rt  closest ever get feeling defusing bomb waiting standby page coachella tickets coachella_,['#Coachella'],['@RaphNasty:']
feeling buy coachella weekend ticket _,"['#Coachella2015', '#weekend1']",['@coachella']
coachella come again coachella rdyear,"['#Coachella2015', '#3rdyear']",[]
rt  got real _ coachella httptcoslzwnrqil,['#Coachella2015'],"['@florence47:', '@JacobHoefert']"
rt  thank lord got thru coachella,['#coachella2015'],['@amandavillicana:']
weekend  crew waddap coachella,['#Coachella2015'],[]
thank lord got thru coachella,['#coachella2015'],[]
honestly got adrenaline rush fucking getting tickets coachella,['#coachella2015'],['@caaiiit_']
fact kyram got stand less  minutes recordtime coachella,"['#recordtime', '#Coachella2015']",[]
shop coachella tickets httptcoofqkjkz,['#Coachella2015'],[]
got real _ coachella httptcoslzwnrqil,['#Coachella2015'],['@JacobHoefert']
oficallly going coachella year ______ coachella musicislife,"['#Coachella2015', '#MusicIsLife']",[]
entire office starts cheering get confirmation coachella round,"['#Coachella2015', '#Round3']",[]
currently experiencing sudden outbursts excitement coachella soexcited weekend coachella,"['#SOEXCITED', '#weekend2', '#Coachella2015']",[]
take desert _ coachella,['#Coachella2015'],[]
coachella happening ____,['#Coachella2015'],[]
coachella weekend  ticket shuttle pass guest house weekend official countdown coachella begins __,['#Coachella2015'],[]
going coachella,['#Coachella2015'],['@coachella']
bought coachella ticket fuckyeah coachella,"['#fuckyeah', '#Coachella2015']",[]
weekend  see coachella stokedalready,"['#coachella2015', '#stokedalready']",[]
weekend  _______ coachella yewwww httptcokgjdrqgxo,"['#Coachella2015', '#Yewwww']",[]
dear god man ultra coachella govballnyc bottlerock lineups bands djs hashtags,"['#Ultra2015', '#coachella2015', '#GovBallNYC', '#Bottlerock', '#lineups', '#bands', '#DJs', '#hashtags']",[]
screaming like banshee coachella tickets woooooohooooo,"['#Coachella2015', '#woooooohooooo']",['@madeleineprice']
lol probably made someone real happy so bae getting tickets did coachella httptcogryhsxlf,['#Coachella2015'],[]
woohoo got tickets weekend  baby coachella needacampingspot,"['#Coachella2015', '#NeedACampingSpot']",[]
raka party alert raka party alert __coachella get ready rock amp roll rakasatcoachella_ httptcopuixnwg,"['#Coachella2015', '#RakasatCoachella']",[]
rt  weekend  come ___ coachella,['#Coachella2015'],"['@KailaViolette:', '@mbonfiglio5', '@ChelsLerma']"
fuck yeah happy birthday me aprilcomefaster coachella ktbeyer _ httptcohbupgvgviv,"['#Aprilcomefaster', '#coachella2015']",['@mfarfanz']
weekend yee coachella,"['#yee', '#Coachella2015']",[]
im going coachella  ________,['#COACHELLA2015'],[]
boom going kids coachella __,['#Coachella2015'],['@coachella']
coachellaaaaaaaaa coachella yesssssssssss excitement real,['#Coachella2015'],[]
snatched coachella tickets,['#Coachella2015'],[]
weekend  come ___ coachella,['#Coachella2015'],"['@mbonfiglio5', '@ChelsLerma']"
going coachella  need see,['#Coachella2015'],['@Hozier']
watch weekend  come coachella,['#Coachella2015'],['@coachella']
would sell nonexistent soul go coachella,['#Coachella2015'],[]
omg want go coachella soooooo bad,['#Coachella2015'],[]
perhaps year _ coachella,['#Coachella2015'],[]
already bought pairs weekends mary got hella quick today coachella weekend weeknd httptcoyijywjshr,"['#Coachella2015', '#Weekend1']",[]
really wanna go coachella,['#Coachella2015'],[]
well lot easier thought coachella _ httptcosxnfpn,['#Coachella2015'],[]
got hoes see ya weekend  coachella,['#coachella2015'],"['@LilTifff', '@Fuuckinsarah']"
got ___ coachella,['#Coachella2015'],[]
omg going going back back cali cali coachella come,['#Coachella2015'],['come!!!!!!!!!!!!!!!!!!!!!!@BHoffman42']
like mini edc edm artists playing year would looking forward ac_dc coachella,['#Coachella2015'],[]
attention everybody girlfriend clutch af coachella tickets fucking love her,['#Coachella2015'],[]
hi guys need hop coachella page buy fucking ticket kthxbye coachella,['#Coachella2015'],[]
think going pass even get passed standby page coachella,['#coachella2015'],[]
wait __ coachella httptcotvtlyjnniy,['#Coachella2015'],[]
thanks putting cover image  favorite httptcoljdhhama coachella,['#Coachella2015'],"['@EliteDaily', '@AngelAlessandra']"
coachella tickets super  thurs mon flight april dbx lax april th _ coachella,['#Coachella2015'],[]
why would wear high heels coachella because coachella coachella basicbitches,"['#Coachella', '#Coachella2015', '#basicbitches']",[]
crisis averted coachella httptcotzczuuvhrq,['#Coachella2015'],[]
 macs  open pages coachella httptcowfnmuvgia,['#Coachella2015'],[]
prayers go everyone trying purchase coachella tickets,['#Coachella2015'],[]
play waiting game bebe coachella,['#Coachella2015'],[]
omgosh coachella tickets sale  mins,['#Coachella2015'],[]
call name positivevibes coachella,"['#Positivevibes', '#Coachella2015']",['@FM949sd']
coachella ticket timefingers crossed cause want getting boozy bois coachella,['#Coachella2015'],"['@Drake', '@theweeknd']"
comes coachella relive s weekend  here photos httptconpyabqu coachella httptcoutyuytp coachella,"['#Coachella2015', '#Coachella2015']",[]
line real line day_coachella httptcowchjikpm,[],[]
rt  almost time coachella __,['#Coachella2015'],['@jasminalyssa:']
rt   mins _ coachella,['#Coachella2015'],['@simplyymilann_:']
almost time coachella __,['#Coachella2015'],[]
 minutes coachella,['#Coachella2015'],[]
coachella lineup crazy,['#Coachella2015'],[]
patiently waiting coachella httptcodgfjnchlde,['#Coachella2015'],[]
anxiety coachella coachella cantwait gaallday lol weekend weekend birthday _ httptcocncfkwewr,"['#coachella', '#coachella2015', '#cantwait', '#GAallDay', '#weekend1', '#weekend2']",[]
 minutes poor coachella httptcopdpipegb,['#Coachella2015'],[]
devices right now coachella httptcobedzpmrck,['#Coachella2015'],[]
fucking amped ____ coachella httptcoxgqufxacd,['#Coachella2015'],[]
coachella tix bout drop dayum,['#Coachella2015'],[]
like black friday festival loversis noon coachella,['#Coachella2015'],[]
 going jam colossal coachella crowd amp lineup would one magical set california,['#Coachella2015'],"['@questlove,', '@theroots']"
 minutes go beyatches get line coachella coachella areyougoing letthequeuebegin_ httptcotdijclbvy,"['#coachella2015', '#areyougoing', '#letthequeuebegin']",[]
rt  weekend one weekend two coachella,['#Coachella2015'],['@kryziaaaq:']
got best news ever bae coming visit get wild coachella httptcogzmwfvkis,['#Coachella2015'],[]
good luck everyone trying get tix today coachella coachella,"['#Coachella', '#Coachella2015']",['@coachella']
time get ticket raverchicks plur coachella,"['#RaverChicks', '#PLuR', '#Coachella2015']","['@ThatBlondie', '@coachella']"
waiting buy tix ______ coachella httptcovdqzvis,['#Coachella2015'],[]
missing intense ass hour life  lol got ticket months ago __ coachella thestruggle goodluck,"['#Coachella2015', '#thestruggle', '#goodluck']",[]
 arrrrgggh needs done coachella httptcowhftztwz know makes sense,['#Coachella2015'],['\x89ÛÏ@sumitasinha:']
 s set headline coachella alongside  amp  would go,['#Coachella2015'],"['\x89ÛÏ@mtvwrapup:', "".@Drake's"", '@FKAtwigs,', '@TheWeeknd', '@AZEALIABANKS""']"
really really want go year coachella,['#Coachella2015'],[]
cant wait hear track live coachella april coachella coachella weekend tameimpala feelsli_ httptcozqvxhxjcwe,"['#coachella', '#coachella2015', '#weekend1', '#tameimpala', '#feelsli']",[]
rt  remember tix go sale noon  internet explode shortly thereafter  prepare take cover  co_,['#Co'],"['@NicoleFAlvarez:', '@coachella']"
 minute countdown coachella  httptcohuhtaft,['#Coachella2015'],[]
april enjoy max acdc coachella,"['#ACDC', '#Coachella2015']","['@coachella', '@Drake']"
purchase shit going intense  gettin ready coachella,['#Coachella2015'],[]
may odds ever favor coachella httptcobigxndun,['#coachella2015'],[]
coachella mom anxiety  hoping get tix kids noon today _,['#Coachella2015'],[]
brand new altj bad religion chet faker desaparecidos florence  machine interpol vance joy much more  coachella,['#Coachella2015'],[]
many people frantically comps waiting pmpm buy tix coachella def gonna sell minute,['#Coachella2015'],['@coachella']
interesting lineup yearcoachella,['#Coachella2015'],['@coachella']
 blessed computer refreshes coachella school huh__,['#Coachella2015'],['\x89ÛÏ@Mhayyees:']
hands shaking pmpmpmpm at coachella,['#Coachella2015'],[]
definitely going coachella __,['#Coachella2015'],[]
remember tix go sale noon  internet explode shortly thereafter  prepare take cover  coachella,['#Coachella2015'],['@coachella']
crying ___ coachella httptcovoyryjnq,['#Coachella2015'],[]
one hour coachella tickets go sale httptcoelrhju coachella,"['#Coachella2015', '#Coachella']",[]
could afford coachella tickets right now,['#Coachella2015'],[]
bored work browsing site getting excited bdaymonth april weekend coachella httptcoonzdwgcia,"['#bdaymonth', '#april', '#weekend1', '#Coachella2015']",['@coachella']
one hour _ coachella,['#Coachella2015'],[]
rt  moment silence coachella lineup fml _ httptcoddffxvan,['#Coachella2015'],['@Skinnygenes_TV:']
 hour _ coachella,['#Coachella2015'],[]
heard gonna coachella let say coachella lucky,['#Coachella2015'],['@lights']
want coachella plane ticket nooowwww,['#Coachella2015'],[]
honey get coachella tickets ima hit  backflips vine,['#Coachella2015'],[]
may odds ever favor coachella,['#Coachella2015'],[]
rt  coachella imma let finish one best sets time good luck line tho _,['#Coachella2015'],"['@KimKanyeKimyeFC:', '@kanyewest']"
rt  drake headlining coachella thats like zit remedy headlining glastonbury coachella,['#Coachella2015'],['@funnygrrl:']
indiana usa south bend httptcotzatewymqd coachella  coachella  full lineup big names bigger surprises coachella _,['#Coachella2015'],[]
wanna go coachella soooooooooo bad,['#Coachella2015'],[]
really wanna go  coachella coachella edm,"['#Coachella', '#Coachella2015', '#EDM']",['@coachella']
durham duo coachella lineup,"['#Durham', '#Coachella2015']","['@SylvanEsso', '@durhammag']"
someone take coachella__ coachella httptcohireynnpup,['#Coachella2015'],[]
might going coachella  greedy nah  nah,['#Coachella2015'],[]
arrangements _ made done with one hour till ticket time __ coachella,['#Coachella2015'],[]
rt  ngl coachella looks fucking sick,['#Coachella2015'],['@charlie_ridler_:']
rt  coachella huh ___ epic ______ see there,"['#Coachella2015', '#Epic']",['@LL_COOL_LJ:']
coachella love you__ coachella drakeislife preparingmyvows,"['#Coachella2015', '#drakeislife', '#preparingmyvows']",[]
 eyyyyyy need coachella ticket anyone extra lemme know _coachella same___,['#Coachella2015'],['\x89ÛÏ@Emmzhigh:']
 coachella lineup actually broke internet httptcocukebwmhf pls someone take me coachella,['#Coachella2015'],['\x89ÛÏ@betchesluvthis:']
lucky people got tickets coachella coachella coachella,"['#Coachella', '#Coachella2015']",[]
one hour coachella tix sale whos paying mine,['#Coachella2015'],[]
coachella lineup looks pretty badass jackwhite bad night,"['#Coachella2015', '#JackWhite']","['@badreligion', '@acdc']"
wow much better line coachella year know one at,['#Coachella2015'],['@BottleRockNapa']
coachella lineup _ ugh crying want go bad,['#Coachella2015'],[]
