cleaned_tweet_text,hashtags,emails
rt  comes go james bond mode coachella,['#Coachella2015'],[]
ready coachella,['#Coachella2015'],[]
see yall  coachella ____,['#Coachella2015'],[]
looking coachella passes someone savior please,['#coachella2015'],[]
want write essay wont coachella,['#Coachella2015'],[]
 looking buy coachella car camping pass weekend  hmu coachella coachella carcamping,"['#COACHELLA', '#Coachella2015', '#carcamping']",[]
want go coachella especially announced,['#Coachella2015'],[]
coachella whoa weeknd amp drake performing,['#Coachella2015'],[]
dig guys much cant wait see coachella two dudes creating incredible sounds,['#Coachella2015'],[]
got coachella weekend  tickets cant wait cross bucket list,['#Coachella2015'],[]
finally_ coachella week  come,['#Coachella2015'],[]
coachella coming ya __ coachella hellyeah,"['#coachella2015', '#hellyeah']",[]
rt   lineup here coachella cue flower headband display front  center,['#Coachella2015'],[]
youre selling coachella week  pass hmu,['#Coachella2015'],[]
rt  fuck dude want go baddddd coachella,['#Coachella2015'],[]
  festival passes sell  minutes coachella _,['#Coachella2015'],[]
might well plan ahead april non happy early th birthday moi moi coachella_,['#coachella2015'],[]
say thank god presale amp coachella,['#Coachella2015'],[]
honestly want see steely dan coachella,['#Coachella2015'],[]
way start new year coachella,['#coachella2015'],[]
dreaming lala land tonight coachella,['#Coachella2015'],[]
rt  epic reunion coachella,['#Coachella2015'],[]
people vacation hawaii every year go europe choose poo f portapotty  days coachella,['#Coachella2015'],[]
coachellatickets sold less  mins get yours coachella,"['#Coachellatickets', '#Coachella2015']",[]
could cry happiness _____ coachella,['#Coachella2015'],[]
great line coachella whos going coachella year,['#Coachella2015'],[]
artists know stuck me gt must see me coachella,['#Coachella2015'],[]
epic reunion coachella,['#Coachella2015'],[]
rt  something ears wait standby page coachella coachella,"['#Coachella', '#Coachella2015']",[]
 coachella calling names,['#Coachella2015'],[]
weekend  ___ coachella camping,"['#Coachella2015', '#camping']",[]
sold part soul purchased coachella ticket really could care less coachella ____,['#Coachella2015'],[]
one ask hang fun things w require money summer bc coachella left ___ brokeaf,"['#Coachella2015', '#brokeaf']",[]
 honestly got adrenaline rush fucking getting tickets coachella god bless,['#coachella2015'],[]
got tickets coachella freaking excited cancel janfebmar skip straight april already,['#Coachella2015'],[]
buzzing _____ wait april th ___________ coachella,['#Coachella2015'],[]
one day travel usa go coachella __ coachella makeithappen,"['#Coachella2015', '#MakeItHappen']",[]
worst text ever receive coachella,['#Coachella2015'],[]
psyched coachella _,['#Coachella2015'],[]
wait coachella made broke _,['#Coachella2015'],[]
ya bitches  coachella,['#Coachella2015'],[]
 iz happeninnn coachella cant wait,['#Coachella2015'],[]
bought coachella ticket see perform worlds live gotta hear sing lionhearted dude worlds coachella,"['#Worlds', '#Coachella2015']",[]
tickets officially booked coachella stoked coachella happydance,"['#STOKED', '#coachella2015', '#happydance']",[]
get coachella tickets fucking die coachella,"['#Coachella', '#Coachella2015']",[]
well going bananas right ______ coachella,['#Coachella2015'],[]
new coachella line up would love going____ coachella,"['#Coachella', '#Coachella2015']",[]
need airplane ticket hotel coachella,['#Coachella2015'],[]
ahh  mins staring comp screen waiting  purchase tix worth cantwait coachella,"['#cantwait', '#Coachella2015']",[]
waited  dot weekend  tickets sold  mins later sosad coachella,"['#sosad', '#Coachella2015']",[]
that friends always take advantage presale coachella,['#Coachella2015'],[]
__let countdown begin brn_ttt coachella flo finally _,"['#coachella2015', '#FLO', '#FINALLY']",[]
blood pressure never higher coachella ticketprobs,"['#Coachella2015', '#ticketprobs']",[]
take youuuuuuu rt  iz happeninnn coachella,['#Coachella2015'],[]
thinking sneaking coachella see perform _,['#Coachella2015'],[]
hell yeanorwegian act  really really think lineup coachella  worth going,['#Coachella2015'],[]
want go coachella __ coachella,['#Coachella2015'],[]
iz happeninnn coachella,['#Coachella2015'],[]
lol call ticketmaster cause literally got friends through_ coachella chipotle,"['#Coachella2015', '#chipotle']",[]
 passes sold fast still get travel packages tickets coachella coachella,"['#Coachella', '#Coachella2015']",[]
got coachella ticket vip doe coachella coachella,"['#Coachella2015', '#Coachella2015']",[]
conversations darlene_ coachella drake need,"['#Coachella2015', '#Drake', '#need']",[]
soooooo excited  coachella coachella barely decided go less  hours ago _,"['#coachella2015', '#coachella']",[]
weekend one turn coachella backtoback _______,"['#Coachella2015', '#BackToBack']",[]
body ready coachella __,['#COACHELLA2015'],[]
holy crap take long rt sold coachella coachella rt  thank you ,"['#Coachella', '#Coachella2015']",[]
rt  yeaaaaaaahhhhh got tickets coachella,['#coachella2015'],[]
go ya  coachella,['#Coachella2015'],[]
hehe got coachella ticket __ weekend coachella,"['#weekend2', '#Coachella2015']",[]
guess spending st birthday ______ _coachella st,"['#coachella2015', '#21st']",[]
coachella sold matter  minutes come surprise lineup,['#Coachella2015'],[]
official__ coachella coming ya ,['#Coachella2015'],[]
rt  one festival hype coachella,"['#hype', '#coachella2015']",[]
tough call live missed ac_dc coachella year,"['#Coachella2015', '#year5']",[]
coachella tickets purchased yas coachella,['#Coachella2015'],[]
cant wait dance days away beautiful ladies coachella coachella,"['#Coachella', '#Coachella2015']",[]
crazy fast coachella sells _ coachella,['#Coachella2015'],[]
aaaaand chellas sold out hope friends got tickets im going solo coachella,['#Coachella2015'],[]
literally almost mother fuggin heart attack w bew getting ticket zawlll gooood see soon coachella _________,['#Coachella2015'],[]
got going tribulations today major heart palpitations man lol coachella heartracing refreshpage swing,"['#lol', '#Coachella2015', '#heartracing', '#refreshpage', '#swing']",[]
soon two weekends twice year three weekends coachella coachella ticketprobz ___ ineedtickets,"['#coachella2015', '#Coachella', '#ticketprobz', '#INEEDTICKETS']",[]
round  come _____ coachella _,['#Coachella2015'],[]
april cant come soon enough coachella weekend,"['#Coachella2015', '#Weekend2']",[]
cant wait april coachella __________,['#Coachella2015'],[]
trynna coachella tickets like coachella,['#Coachella2015'],[]
weekend  sold coachella,['#Coachella2015'],[]
rt  go looking coachella wknd  car camping pass hate lineup want offload dm me coachella coa_,"['#Coachella', '#Coa']",[]
ahhhhhhhhh could burst excited coachella ________,['#Coachella2015'],[]
got coachella weekend  tickets biggie __ coachella coachella weekend coachellaweekend hashtagoverload,"['#coachella', '#Coachella2015', '#weekend1', '#coachellaweekend1', '#hashtagoverload']",[]
wow coachella sold  minutes __,['#Coachella2015'],[]
wait real coachella,['#Coachella2015'],[]
official coachella come __,['#Coachella2015'],[]
wish going coachella,['#Coachella2015'],[]
yeaaaaaaahhhhh got tickets coachella,['#coachella2015'],[]
rt  coachella  hyped __ coachella weekend,"['#Coachella2015', '#Weekend2']",[]
getting love russia congrats coachella,['#Coachella2015'],[]
goes coachella _,['#coachella2015'],[]
ready set __ coachella,['#Coachella2015'],[]
even though prices arm leg going worth end coachella,['#Coachella2015'],[]
rt  need car camping set coachella,['#Coachella2015'],[]
ucla good wifi coachella,['#Coachella2015'],[]
got tickets coachella ______,['#Coachella2015'],[]
thisjusthappened yay excited coachella imsobroke lol soworthit,"['#Thisjusthappened', '#Coachella2015', '#imsobroke', '#soworthit']",[]
rt  got ticket _______________ coachella,['#Coachella2015'],[]
something ears wait standby page coachella coachella,"['#Coachella', '#Coachella2015']",[]
yessssssss coachella ready ______,['#Coachella2015'],[]
sitting standby page coachella tickets coachella,['#Coachella2015'],[]
bought ticket weekend  coachella happy early birthday me couldibemorela amibasicnow labucketlist,"['#Coachella2015', '#couldIBEmoreLA', '#amibasicnow', '#LAbucketlist']",[]
need car camping set coachella,['#Coachella2015'],[]
got ticket _______________ coachella,['#Coachella2015'],[]
coachella tickets sold stupid fast,['#Coachella2015'],[]
coachella comin,['#Coachella2015'],[]
may odds favor __ coachella,['#Coachella2015'],[]
rt  got hoes see ya weekend  coachella,['#coachella2015'],[]
come again ____ coachella,['#Coachella2015'],[]
free showers cell phone charging stations campground lots o  coachella gtgt tomorrowworld coachella,['#Coachella2015'],[]
day got better _ coachella,['#Coachella2015'],[]
official coachella,['#Coachella2015'],[]
want go coachella __,['#Coachella2015'],[]
anxiety attacks afternoon coachella,['#Coachella2015'],[]
pumped axwell amp ingrosso  coachella,['#Coachella2015'],[]
 fact kyram got stand less  minutes recordtime coachella wait ________,"['#recordtime', '#Coachella2015']",[]
looks like coachella,['#Coachella2015'],[]
red coachella  ticketsdone coachella coachella get shape,"['#Coachella', '#Coachella2015']",[]
rt  closest ever get feeling defusing bomb waiting standby page coachella tickets coachella_,['#Coachella'],[]
feeling buy coachella weekend ticket _,"['#Coachella2015', '#weekend1']",[]
coachella come again coachella rdyear,"['#Coachella2015', '#3rdyear']",[]
rt  got real _ coachella,['#Coachella2015'],[]
rt  thank lord got thru coachella,['#coachella2015'],[]
weekend  crew waddap coachella,['#Coachella2015'],[]
thank lord got thru coachella,['#coachella2015'],[]
honestly got adrenaline rush fucking getting tickets coachella,['#coachella2015'],[]
fact kyram got stand less  minutes recordtime coachella,"['#recordtime', '#Coachella2015']",[]
shop coachella tickets,['#Coachella2015'],[]
got real _ coachella,['#Coachella2015'],[]
oficallly going coachella year ______ coachella musicislife,"['#Coachella2015', '#MusicIsLife']",[]
entire office starts cheering get confirmation coachella round,"['#Coachella2015', '#Round3']",[]
currently experiencing sudden outbursts excitement coachella soexcited weekend coachella,"['#SOEXCITED', '#weekend2', '#Coachella2015']",[]
take desert _ coachella,['#Coachella2015'],[]
coachella happening ____,['#Coachella2015'],[]
coachella weekend  ticket shuttle pass guest house weekend official countdown coachella begins __,['#Coachella2015'],[]
going coachella,['#Coachella2015'],[]
bought coachella ticket fuckyeah coachella,"['#fuckyeah', '#Coachella2015']",[]
weekend  see coachella stokedalready,"['#coachella2015', '#stokedalready']",[]
weekend  _______ coachella yewwww,"['#Coachella2015', '#Yewwww']",[]
dear god man ultra coachella govballnyc bottlerock lineups bands djs hashtags,"['#Ultra2015', '#coachella2015', '#GovBallNYC', '#Bottlerock', '#lineups', '#bands', '#DJs', '#hashtags']",[]
screaming like banshee coachella tickets woooooohooooo,"['#Coachella2015', '#woooooohooooo']",[]
lol probably made someone real happy so bae getting tickets did coachella,['#Coachella2015'],[]
woohoo got tickets weekend  baby coachella needacampingspot,"['#Coachella2015', '#NeedACampingSpot']",[]
raka party alert raka party alert __coachella get ready rock amp roll rakasatcoachella_,"['#Coachella2015', '#RakasatCoachella']",[]
rt  weekend  come ___ coachella,['#Coachella2015'],[]
fuck yeah happy birthday me aprilcomefaster coachella ktbeyer _,"['#Aprilcomefaster', '#coachella2015']",[]
weekend yee coachella,"['#yee', '#Coachella2015']",[]
im going coachella  ________,['#COACHELLA2015'],[]
boom going kids coachella __,['#Coachella2015'],[]
coachellaaaaaaaaa coachella yesssssssssss excitement real,['#Coachella2015'],[]
snatched coachella tickets,['#Coachella2015'],[]
weekend  come ___ coachella,['#Coachella2015'],[]
going coachella  need see,['#Coachella2015'],[]
watch weekend  come coachella,['#Coachella2015'],[]
would sell nonexistent soul go coachella,['#Coachella2015'],[]
omg want go coachella soooooo bad,['#Coachella2015'],[]
perhaps year _ coachella,['#Coachella2015'],[]
already bought pairs weekends mary got hella quick today coachella weekend weeknd,"['#Coachella2015', '#Weekend1']",[]
really wanna go coachella,['#Coachella2015'],[]
well lot easier thought coachella _,['#Coachella2015'],[]
got hoes see ya weekend  coachella,['#coachella2015'],[]
got ___ coachella,['#Coachella2015'],[]
omg going going back back cali cali coachella come,['#Coachella2015'],[]
like mini edc edm artists playing year would looking forward ac_dc coachella,['#Coachella2015'],[]
attention everybody girlfriend clutch af coachella tickets fucking love her,['#Coachella2015'],[]
hi guys need hop coachella page buy fucking ticket kthxbye coachella,['#Coachella2015'],[]
think going pass even get passed standby page coachella,['#coachella2015'],[]
wait __ coachella,['#Coachella2015'],[]
thanks putting cover image  favorite coachella,['#Coachella2015'],[]
coachella tickets super  thurs mon flight april dbx lax april th _ coachella,['#Coachella2015'],[]
why would wear high heels coachella because coachella coachella basicbitches,"['#Coachella', '#Coachella2015', '#basicbitches']",[]
crisis averted coachella,['#Coachella2015'],[]
 macs  open pages coachella,['#Coachella2015'],[]
prayers go everyone trying purchase coachella tickets,['#Coachella2015'],[]
play waiting game bebe coachella,['#Coachella2015'],[]
omgosh coachella tickets sale  mins,['#Coachella2015'],[]
call name positivevibes coachella,"['#Positivevibes', '#Coachella2015']",[]
coachella ticket timefingers crossed cause want getting boozy bois coachella,['#Coachella2015'],[]
comes coachella relive s weekend  here photos coachella coachella,"['#Coachella2015', '#Coachella2015']",[]
line real line day_coachella,['#Coachella2015'],[]
rt  almost time coachella __,['#Coachella2015'],[]
rt   mins _ coachella,['#Coachella2015'],[]
almost time coachella __,['#Coachella2015'],[]
 minutes coachella,['#Coachella2015'],[]
coachella lineup crazy,['#Coachella2015'],[]
patiently waiting coachella,['#Coachella2015'],[]
anxiety coachella coachella cantwait gaallday lol weekend weekend birthday _,"['#coachella', '#coachella2015', '#cantwait', '#GAallDay', '#weekend1', '#weekend2']",[]
 minutes poor coachella,['#Coachella2015'],[]
devices right now coachella,['#Coachella2015'],[]
fucking amped ____ coachella,['#Coachella2015'],[]
coachella tix bout drop dayum,['#Coachella2015'],[]
like black friday festival loversis noon coachella,['#Coachella2015'],[]
 going jam colossal coachella crowd amp lineup would one magical set california,['#Coachella2015'],[]
 minutes go beyatches get line coachella coachella areyougoing letthequeuebegin_,"['#coachella2015', '#areyougoing', '#letthequeuebegin']",[]
rt  weekend one weekend two coachella,['#Coachella2015'],[]
got best news ever bae coming visit get wild coachella,['#Coachella2015'],[]
good luck everyone trying get tix today coachella coachella,"['#Coachella', '#Coachella2015']",[]
time get ticket raverchicks plur coachella,"['#RaverChicks', '#PLuR', '#Coachella2015']",[]
waiting buy tix ______ coachella,['#Coachella2015'],[]
missing intense ass hour life  lol got ticket months ago __ coachella thestruggle goodluck,"['#Coachella2015', '#thestruggle', '#goodluck']",[]
 arrrrgggh needs done coachella know makes sense,['#Coachella2015'],[]
 s set headline coachella alongside  amp  would go,['#Coachella2015'],[]
really really want go year coachella,['#Coachella2015'],[]
cant wait hear track live coachella april coachella coachella weekend tameimpala feelsli_,"['#coachella', '#coachella2015', '#weekend1', '#tameimpala', '#feelsli']",[]
rt  remember tix go sale noon  internet explode shortly thereafter  prepare take cover  co_,['#Co'],[]
 minute countdown coachella ,['#Coachella2015'],[]
april enjoy max acdc coachella,"['#ACDC', '#Coachella2015']",[]
purchase shit going intense  gettin ready coachella,['#Coachella2015'],[]
may odds ever favor coachella,['#coachella2015'],[]
coachella mom anxiety  hoping get tix kids noon today _,['#Coachella2015'],[]
brand new altj bad religion chet faker desaparecidos florence  machine interpol vance joy much more  coachella,['#Coachella2015'],[]
many people frantically comps waiting pmpm buy tix coachella def gonna sell minute,['#Coachella2015'],[]
interesting lineup yearcoachella,['#Coachella2015'],[]
 blessed computer refreshes coachella school huh__,['#Coachella2015'],[]
hands shaking pmpmpmpm at coachella,['#Coachella2015'],[]
definitely going coachella __,['#Coachella2015'],[]
remember tix go sale noon  internet explode shortly thereafter  prepare take cover  coachella,['#Coachella2015'],[]
crying ___ coachella,['#Coachella2015'],[]
one hour coachella tickets go sale coachella,"['#Coachella2015', '#Coachella']",[]
could afford coachella tickets right now,['#Coachella2015'],[]
bored work browsing site getting excited bdaymonth april weekend coachella,"['#bdaymonth', '#april', '#weekend1', '#Coachella2015']",[]
one hour _ coachella,['#Coachella2015'],[]
rt  moment silence coachella lineup fml _,['#Coachella2015'],[]
 hour _ coachella,['#Coachella2015'],[]
heard gonna coachella let say coachella lucky,['#Coachella2015'],[]
want coachella plane ticket nooowwww,['#Coachella2015'],[]
honey get coachella tickets ima hit  backflips vine,['#Coachella2015'],[]
may odds ever favor coachella,['#Coachella2015'],[]
rt  coachella imma let finish one best sets time good luck line tho _,['#Coachella2015'],[]
rt  drake headlining coachella thats like zit remedy headlining glastonbury coachella,['#Coachella2015'],[]
indiana usa south bend coachella  coachella  full lineup big names bigger surprises coachella _,['#Coachella2015'],[]
wanna go coachella soooooooooo bad,['#Coachella2015'],[]
really wanna go  coachella coachella edm,"['#Coachella', '#Coachella2015', '#EDM']",[]
durham duo coachella lineup,"['#Durham', '#Coachella2015']",[]
someone take coachella__ coachella,['#Coachella2015'],[]
might going coachella  greedy nah  nah,['#Coachella2015'],[]
arrangements _ made done with one hour till ticket time __ coachella,['#Coachella2015'],[]
rt  ngl coachella looks fucking sick,['#Coachella2015'],[]
rt  coachella huh ___ epic ______ see there,"['#Coachella2015', '#Epic']",[]
coachella love you__ coachella drakeislife preparingmyvows,"['#Coachella2015', '#drakeislife', '#preparingmyvows']",[]
 eyyyyyy need coachella ticket anyone extra lemme know _coachella same___,['#Coachella2015'],[]
 coachella lineup actually broke internet pls someone take me coachella,['#Coachella2015'],[]
lucky people got tickets coachella coachella coachella,"['#Coachella', '#Coachella2015']",[]
one hour coachella tix sale whos paying mine,['#Coachella2015'],[]
coachella lineup looks pretty badass jackwhite bad night,"['#Coachella2015', '#JackWhite']",[]
wow much better line coachella year know one at,['#Coachella2015'],[]
coachella lineup _ ugh crying want go bad,['#Coachella2015'],[]
 guys think years coachella lineup ________________ coachella big epic__,"['#Coachella', '#Coachella2015']",[]
nts  months lose weight lets stella _ coachella,['#Coachella2015'],[]
rt  wanna go coachella,['#Coachella2015'],[]
guys think years coachella lineup ________________ coachella,"['#Coachella', '#Coachella2015']",[]
cant wait see year   hideaway  nowplaying coachella,"['#nowplaying', '#Coachella2015']",[]
ready coachella,['#Coachella2015'],[]
coachella dj land abstract indie bands year bravo coachella,['#Coachella2015'],[]
rt  todays day coachella,['#Coachella2015'],[]
got coachella ticket ____ coachella,['#Coachella2015'],[]
may come with coachella,['#Coachella2015'],[]
lil jon responds coachella lineup pretty funny,['#Coachella2015'],[]
two hours purchase first wristband __ firsttimer coachella,"['#firsttimer', '#Coachella2015']",[]
rt  coachella lineup insane  coachella,['#Coachella2015'],[]
 hooking amp coachella tickets___ _____ wish,['#Coachella2015'],[]
ditto here going fantastic show coachella,['#Coachella2015'],[]
rt  coachella govballnyc please _,"['#Coachella2015', '#GovBallNYC']",[]
todays day coachella,['#Coachella2015'],[]
coachella lineup alright,['#Coachella2015'],[]
please go thanks bye coachella coachella,"['#Coachella2015', '#Coachella']",[]
coachella  grind baby coachella,['#Coachella2015'],[]
lowkey would like go coachella,['#Coachella2015'],[]
finally going coachella filling line bout fun tho,['#Coachella2015'],[]
hooking amp coachella tickets___,['#Coachella2015'],[]
rt  go coachella __,['#Coachella2015'],[]
literally crying __ coachella,['#Coachella2015'],[]
rt  performing coachella proud representing pty respect keepitreal,"['#Coachella2015', '#KeepItReal']",[]
coachella lineup looks absolutely class coachella,['#Coachella2015'],[]
coachella lineup awesome cant wait,['#Coachella2015'],[]
coachella ticket purchased flights booked mansion paid need rent car pay foodbooze basictweet,"['#Coachella2015', '#BasicTweet']",[]
acdc headlining coachella first year coachella history actual residents indio ca attend coachella,"['#Coachella2015', '#Coachella']",[]
 coachella line got likeee __ coachella keep sayin amp,['#Coachella2015'],[]
 hours counting coachella,['#Coachella2015'],[]
coachella wish,['#Coachella2015'],[]
rt  coachella line got likeee ______ coachella,['#Coachella2015'],[]
coachella line got likeee ______ coachella,['#Coachella2015'],[]
rt   coachella  makes space rockers ravers year coachella tuesday_ http_,['#Coachella2015'],[]
cant remember told look coachella line and via form social media __,['#Coachella2015'],[]
heading coachella govballnyc show houston love say coming fpsf,"['#Coachella2015', '#GovBallNYC', '#FPSF']",[]
 hours get ticket____ coachella _,['#Coachella2015'],[]
trying see  years finally able coachella,['#Coachella2015'],[]
coachella band thats way list def gonna try see saintmotel,"['#Coachella2015', '#SaintMotel']",[]
rt  drake  runthejewels  rock coachella,"['#RunTheJewels', '#Coachella2015']",[]
coachella coming excited _____,['#Coachella2015'],[]
somebody go coachella year lineup sickest coachella,['#Coachella2015'],[]
coachella looks incredible check full line here,['#Coachella2015'],[]
would give go coachella lie gonna dope____ coachella,['#Coachella2015'],[]
ga weekends sold out music coachella,"['#music', '#Coachella2015']",[]
definitely year musicfestival coachella altj drake tamaimpala amazing lineup,"['#musicfestival', '#Coachella2015', '#AltJ', '#Drake', '#TamaImpala', '#amazing', '#lineup']",[]
coachella line looks sickkkk,['#Coachella2015'],[]
nowplaying boys latin panda bear boys latin spotify coachella,"['#NowPlaying', '#Spotify', '#coachella2015']",[]
tame impala play coachella tickets go sale today coachella tameimpala australia,"['#Coachella2015', '#TameImpala', '#Australia']",[]
cant here _  playing year could excited coachella ,['#coachella2015'],[]
cool drive like jehu  nochella coachella  lineup,"['#nochella', '#Coachella2015']",[]
rt   miley getting bleach blonde coachella u  r person _,['#Coachella2015'],[]
 lineup here coachella need there,['#Coachella2015'],[]
rt  life goal go coachella buy bunch load clothes coachella go best friend coachella coachella_,['#Coachella2'],[]
see crazy people coachella,['#Coachella2015'],[]
going pull sneak coachella life goals,['#Coachella2015'],[]
happy seeing guys saw first show coming back coachella hdynation,"['#Coachella2015', '#HDYNATION']",[]
dub  year ravechella coachella,['#Coachella2015'],[]
rt   whos joining us coachella fucking pulling dick ac fukcing dc,['#Coachella2015'],[]
missiontobeatcoachella like ungrateful bastards id glad see anyone lineup coachella,"['#missiontobeatcoachella', '#Coachella2015']",[]
want go coachella way getting buying tickets sad,"['#Coachella2015', '#Sad']",[]
coachella looks pretty awesome find people go with,['#Coachella2015'],[]
rt  amazing rt  saw steely dan acdc coachella lineup like_,['#Coachella2015'],[]
glad deal coachella ticket madness already going saying cantwait coachella,"['#Coachella', '#cantwait', '#Coachella2015']",[]
life goal go coachella buy bunch load clothes coachella go best friend coachella coachella,['#Coachella2015'],[]
waste whole check getting coachella fuxs given,['#Coachella2015'],[]
hearing going coachella got like this,['#Coachella2015'],[]
every frickin hotel indio ca sold coachella tickets even went sale yet grrrr,['#Coachella2015'],[]
rt  tempting dad going coachella _____ hahah wish,['#Coachella2015'],[]
tempting dad going coachella _____ hahah wish,['#Coachella2015'],[]
knowing cant go coachella ____ coachella mad,"['#Coachella2015', '#mad']",[]
rt  line up____  never go concertfestival again coachella,['#Coachella2015'],[]
want see ac dc coachella bad ___ life would made,['#Coachella2015'],[]
sell someone elses newborn go coachella,['#Coachella2015'],[]
weeknd drake_ reallllyyyy coachella,['#Coachella2015'],[]
brand new there coachella wish _,['#Coachella2015'],[]
wecant wait coachella coachella,"['#Coachella2015', '#Coachella']",[]
take coachella know real,['#Coachella2015'],[]
rt  everyone  wanna go coachella _,['#Coachella2015'],[]
