coachella_sentiment,coachella_yn,name,retweet_count,text,tweet_coord,tweet_created,tweet_id,tweet_location,user_timezone,hashtags,emails,text_no_usernames,text_no_links,text_ascii,text_lower,text_no_stopwords,text_no_digits,text_no_specials
positive,yes,samhughes88,2,"RT @RogerCraigSmith: Dig these guys much! Can't wait to see them at #Coachella2015!
Two dudes creating incredible sounds.
@royalblooduk 
htÛ_",,1/7/15 14:50,5.5296e+17,"Cheshire, UK ",London,['#Coachella2015'],[],RT:Digtheseguysmuch!Can'twaittoseethemat#Coachella2015!Twodudescreatingincrediblesounds.htÛ_,RT:Digtheseguysmuch!Can'twaittoseethemat#Coachella2015!Twodudescreatingincrediblesounds.htÛ_,RT:Digtheseguysmuch!Can'twaittoseethemat#Coachella2015!Twodudescreatingincrediblesounds.ht_,rt:digtheseguysmuch!can'twaittoseethemat#coachella2015!twodudescreatingincrediblesounds.ht_,rt:digtheseguysmuch!can'twaittoseethemat#coachella2015!twodudescreatingincrediblesounds.ht_,rt:digtheseguysmuch!can'twaittoseethemat#coachella!twodudescreatingincrediblesounds.ht_,rtdigtheseguysmuchcantwaittoseethematcoachellatwodudescreatingincrediblesoundsht
positive,yes,kathy009,0,"ÛÏ@NickDevLV: Officially official. #Coachella2015 http://t.co/cWBx8jb2n7Û
Please someone get me to Coachella this year, so wanna go",,1/7/15 14:48,5.5296e+17,England,,['#Coachella2015'],[],"ÛÏ@NickDevLV:Officiallyofficial.#Coachella2015http://t.co/cWBx8jb2n7ÛPleasesomeonegetmetoCoachellathisyear,sowannago",ÛÏ@NickDevLV:Officiallyofficial.#Coachella2015,@NickDevLV:Officiallyofficial.#Coachella2015,@nickdevlv:officiallyofficial.#coachella2015,@nickdevlv:officiallyofficial.#coachella2015,@nickdevlv:officiallyofficial.#coachella,nickdevlvofficiallyofficialcoachella
positive,yes,McBased,0,See you there! #Coachella2015 @IDK_Chillin @gina__elizabeth @#TwiterlessNikki,,1/7/15 14:47,5.5296e+17,HTX-CCTX,Eastern Time (US & Canada),"['#Coachella2015', '#TwiterlessNikki']",[],Seeyouthere!#Coachella2015@#TwiterlessNikki,Seeyouthere!#Coachella2015@#TwiterlessNikki,Seeyouthere!#Coachella2015@#TwiterlessNikki,seeyouthere!#coachella2015@#twiterlessnikki,seeyouthere!#coachella2015@#twiterlessnikki,seeyouthere!#coachella@#twiterlessnikki,seeyoutherecoachellatwiterlessnikki
positive,yes,TheExperiencexX,0,Son im really trynna go to #Coachella2015,,1/7/15 14:41,5.52958e+17,,Pacific Time (US & Canada),['#Coachella2015'],[],Sonimreallytrynnagoto#Coachella2015,Sonimreallytrynnagoto#Coachella2015,Sonimreallytrynnagoto#Coachella2015,sonimreallytrynnagoto#coachella2015,sonimreallytrynnagoto#coachella2015,sonimreallytrynnagoto#coachella,sonimreallytrynnagotocoachella
positive,yes,lindsayjfig,0,I just want to go to #Coachella2015 _Ù÷Ç_Ù_Á,,1/7/15 14:35,5.52957e+17,,Mountain Time (US & Canada),['#Coachella2015'],[],Ijustwanttogoto#Coachella2015_Ù÷Ç_Ù_Á,Ijustwanttogoto#Coachella2015_Ù÷Ç_Ù_Á,Ijustwanttogoto#Coachella2015___,ijustwanttogoto#coachella2015___,ijustwanttogoto#coachella2015___,ijustwanttogoto#coachella___,ijustwanttogotocoachella
positive,yes,carleystenson,1,So we got tickets to #Coachella2015 x what is it!? _Ù÷_Ù÷ _Ù_¦_Ù___Ù_á_Ù_¼_Ù_ü_Ù___Ù_µ,,1/7/15 14:34,5.52956e+17,,,['#Coachella2015'],[],Sowegotticketsto#Coachella2015xwhatisit!?_Ù÷_Ù÷_Ù_¦_Ù___Ù_á_Ù_¼_Ù_ü_Ù___Ù_µ,Sowegotticketsto#Coachella2015xwhatisit!?_Ù÷_Ù÷_Ù_¦_Ù___Ù_á_Ù_¼_Ù_ü_Ù___Ù_µ,Sowegotticketsto#Coachella2015xwhatisit!?__________________,sowegotticketsto#coachella2015xwhatisit!?__________________,sowegotticketsto#coachella2015xwhatisit!?__________________,sowegotticketsto#coachellaxwhatisit!?__________________,sowegotticketstocoachellaxwhatisit
positive,yes,KROCSTEDY,0,Can't wait until #Coachella this year. This will be my first time ever goin. Chyyeah!!! #Coachella2015 _ÙªÎ,,1/7/15 14:30,5.52955e+17,"From Long Beach, CA & beyond..",Alaska,"['#Coachella', '#Coachella2015']",[],Can'twaituntil#Coachellathisyear.Thiswillbemyfirsttimeevergoin.Chyyeah!!!#Coachella2015_ÙªÎ,Can'twaituntil#Coachellathisyear.Thiswillbemyfirsttimeevergoin.Chyyeah!!!#Coachella2015_ÙªÎ,Can'twaituntil#Coachellathisyear.Thiswillbemyfirsttimeevergoin.Chyyeah!!!#Coachella2015_,can'twaituntil#coachellathisyear.thiswillbemyfirsttimeevergoin.chyyeah!!!#coachella2015_,can'twaituntil#coachellathisyear.thiswillbemyfirsttimeevergoin.chyyeah!!!#coachella2015_,can'twaituntil#coachellathisyear.thiswillbemyfirsttimeevergoin.chyyeah!!!#coachella_,cantwaituntilcoachellathisyearthiswillbemyfirsttimeevergoinchyyeahcoachella
positive,yes,edasemana,0,Just bought my #Coachella2015 tickets with @aylephant and Minh Do! I could already tell that 2015 is gonna be amazing!,"[37.4365235, -121.8783382]",1/7/15 14:30,5.52955e+17,California ,,['#Coachella2015'],[],Justboughtmy#Coachella2015ticketswithandMinhDo!Icouldalreadytellthat2015isgonnabeamazing!,Justboughtmy#Coachella2015ticketswithandMinhDo!Icouldalreadytellthat2015isgonnabeamazing!,Justboughtmy#Coachella2015ticketswithandMinhDo!Icouldalreadytellthat2015isgonnabeamazing!,justboughtmy#coachella2015ticketswithandminhdo!icouldalreadytellthat2015isgonnabeamazing!,justboughtmy#coachella2015ticketswithandminhdo!icouldalreadytellthat2015isgonnabeamazing!,justboughtmy#coachellaticketswithandminhdo!icouldalreadytellthatisgonnabeamazing!,justboughtmycoachellaticketswithandminhdoicouldalreadytellthatisgonnabeamazing
positive,yes,happiiiiiiiii,1,"RT @EricHoang_: Someone sell me one car camping pass for Coachella weekend 2, please. #Coachella #Coachella2015 #Coachellatickets",,1/7/15 14:30,5.52955e+17,,,"['#Coachella', '#Coachella2015', '#Coachellatickets']",[],"RT:SomeonesellmeonecarcampingpassforCoachellaweekend2,please.#Coachella#Coachella2015#Coachellatickets","RT:SomeonesellmeonecarcampingpassforCoachellaweekend2,please.#Coachella#Coachella2015#Coachellatickets","RT:SomeonesellmeonecarcampingpassforCoachellaweekend2,please.#Coachella#Coachella2015#Coachellatickets","rt:someonesellmeonecarcampingpassforcoachellaweekend2,please.#coachella#coachella2015#coachellatickets","rt:someonesellmeonecarcampingpassforcoachellaweekend2,please.#coachella#coachella2015#coachellatickets","rt:someonesellmeonecarcampingpassforcoachellaweekend,please.#coachella#coachella#coachellatickets",rtsomeonesellmeonecarcampingpassforcoachellaweekendpleasecoachellacoachellacoachellatickets
positive,yes,fucknambriz,0,"April can't come any sooner _Ù÷__Ù÷__Ù÷_ 

#Coachella2015","[33.83198733, -117.95680471]",1/7/15 14:29,5.52955e+17,Anaheim CA,Pacific Time (US & Canada),['#Coachella2015'],[],Aprilcan'tcomeanysooner_Ù÷__Ù÷__Ù÷_#Coachella2015,Aprilcan'tcomeanysooner_Ù÷__Ù÷__Ù÷_#Coachella2015,Aprilcan'tcomeanysooner______#Coachella2015,aprilcan'tcomeanysooner______#coachella2015,aprilcan'tcomeanysooner______#coachella2015,aprilcan'tcomeanysooner______#coachella,aprilcantcomeanysoonercoachella
positive,yes,LuisaInStereo,0,Woot woot! #Coachella2015 _Ù_ä_Ù_ä,,1/7/15 14:28,5.52955e+17,,Pacific Time (US & Canada),['#Coachella2015'],[],Wootwoot!#Coachella2015_Ù_ä_Ù_ä,Wootwoot!#Coachella2015_Ù_ä_Ù_ä,Wootwoot!#Coachella2015____,wootwoot!#coachella2015____,wootwoot!#coachella2015____,wootwoot!#coachella____,wootwootcoachella
positive,yes,GregWRoss,0,"#coachella2015  What's the fuss about AC/DC heading the line-up? Leonard Cohen blew everyone away there a couple of years back, both great!",,1/7/15 14:26,5.52955e+17,Burswood,Perth,['#coachella2015'],[],"#coachella2015What'sthefussaboutAC/DCheadingtheline-up?LeonardCohenbleweveryoneawaythereacoupleofyearsback,bothgreat!","#coachella2015What'sthefussaboutAC/DCheadingtheline-up?LeonardCohenbleweveryoneawaythereacoupleofyearsback,bothgreat!","#coachella2015What'sthefussaboutAC/DCheadingtheline-up?LeonardCohenbleweveryoneawaythereacoupleofyearsback,bothgreat!","#coachella2015what'sthefussaboutac/dcheadingtheline-up?leonardcohenbleweveryoneawaythereacoupleofyearsback,bothgreat!","#coachella2015what'sthefussaboutac/dcheadingtheline-up?leonardcohenbleweveryoneawaythereacoupleofyearsback,bothgreat!","#coachellawhat'sthefussaboutac/dcheadingtheline-up?leonardcohenbleweveryoneawaythereacoupleofyearsback,bothgreat!",coachellawhatsthefussaboutacdcheadingthelineupleonardcohenbleweveryoneawaythereacoupleofyearsbackbothgreat
positive,yes,Hey_Julee,1,RT @TeamCamillaB: Hope to see @CamillaBelle in Coachella #Coachella2015!,,1/7/15 14:26,5.52954e+17,,Central Time (US & Canada),['#Coachella2015'],[],RT:HopetoseeinCoachella#Coachella2015!,RT:HopetoseeinCoachella#Coachella2015!,RT:HopetoseeinCoachella#Coachella2015!,rt:hopetoseeincoachella#coachella2015!,rt:hopetoseeincoachella#coachella2015!,rt:hopetoseeincoachella#coachella!,rthopetoseeincoachellacoachella
positive,yes,rgrocks,0,Prayer to #Coachella gods for #Coachella2015 #Coachellatickets someone sell me weekend 1 for face value please. Car camping too! Amen,,1/7/15 14:25,5.52954e+17,San Francisco,Pacific Time (US & Canada),"['#Coachella', '#Coachella2015', '#Coachellatickets']",[],Prayerto#Coachellagodsfor#Coachella2015#Coachellaticketssomeonesellmeweekend1forfacevalueplease.Carcampingtoo!Amen,Prayerto#Coachellagodsfor#Coachella2015#Coachellaticketssomeonesellmeweekend1forfacevalueplease.Carcampingtoo!Amen,Prayerto#Coachellagodsfor#Coachella2015#Coachellaticketssomeonesellmeweekend1forfacevalueplease.Carcampingtoo!Amen,prayerto#coachellagodsfor#coachella2015#coachellaticketssomeonesellmeweekend1forfacevalueplease.carcampingtoo!amen,prayerto#coachellagodsfor#coachella2015#coachellaticketssomeonesellmeweekend1forfacevalueplease.carcampingtoo!amen,prayerto#coachellagodsfor#coachella#coachellaticketssomeonesellmeweekendforfacevalueplease.carcampingtoo!amen,prayertocoachellagodsforcoachellacoachellaticketssomeonesellmeweekendforfacevaluepleasecarcampingtooamen
positive,yes,_SydArmstrong,0,I see @nlapi is ready for #Coachella2015 #coachellaNICK,,1/7/15 14:23,5.52954e+17,Los Angeles,Central Time (US & Canada),"['#Coachella2015', '#coachellaNICK']",[],Iseeisreadyfor#Coachella2015#coachellaNICK,Iseeisreadyfor#Coachella2015#coachellaNICK,Iseeisreadyfor#Coachella2015#coachellaNICK,iseeisreadyfor#coachella2015#coachellanick,iseeisreadyfor#coachella2015#coachellanick,iseeisreadyfor#coachella#coachellanick,iseeisreadyforcoachellacoachellanick
positive,yes,pascalpellan,0,Young DroCHELLA | #Coachella #Coachella2015 http://t.co/X0tIMlrjSH,,1/7/15 14:22,5.52953e+17,Paris,Paris,"['#Coachella', '#Coachella2015']",[],YoungDroCHELLA|#Coachella#Coachella2015http://t.co/X0tIMlrjSH,YoungDroCHELLA|#Coachella#Coachella2015,YoungDroCHELLA|#Coachella#Coachella2015,youngdrochella|#coachella#coachella2015,youngdrochella|#coachella#coachella2015,youngdrochella|#coachella#coachella,youngdrochellacoachellacoachella
positive,yes,Wajohnston3Will,0,Got my tickets for #Coachella2015 stoked as fuck,,1/7/15 14:21,5.52953e+17,,,['#Coachella2015'],[],Gotmyticketsfor#Coachella2015stokedasfuck,Gotmyticketsfor#Coachella2015stokedasfuck,Gotmyticketsfor#Coachella2015stokedasfuck,gotmyticketsfor#coachella2015stokedasfuck,gotmyticketsfor#coachella2015stokedasfuck,gotmyticketsfor#coachellastokedasfuck,gotmyticketsforcoachellastokedasfuck
positive,yes,shermhasheart,0,"I can't wait for ""and you shook me all night long"" at #Coachella2015",,1/7/15 14:18,5.52952e+17,Bloomington,Quito,['#Coachella2015'],[],"Ican'twaitfor""andyoushookmeallnightlong""at#Coachella2015","Ican'twaitfor""andyoushookmeallnightlong""at#Coachella2015","Ican'twaitfor""andyoushookmeallnightlong""at#Coachella2015","ican'twaitfor""andyoushookmeallnightlong""at#coachella2015","ican'twaitfor""andyoushookmeallnightlong""at#coachella2015","ican'twaitfor""andyoushookmeallnightlong""at#coachella",icantwaitforandyoushookmeallnightlongatcoachella
positive,yes,mickeyditch,0,So HAPPY to announce that me and @NicolaBott have twins!!!! (tickets) #Coachella2015 http://t.co/83miyTqiff,"[-33.87105558, 151.20334792]",1/7/15 14:17,5.52952e+17,Sydney,London,['#Coachella2015'],[],SoHAPPYtoannouncethatmeandhavetwins!!!!(tickets)#Coachella2015http://t.co/83miyTqiff,SoHAPPYtoannouncethatmeandhavetwins!!!!(tickets)#Coachella2015,SoHAPPYtoannouncethatmeandhavetwins!!!!(tickets)#Coachella2015,sohappytoannouncethatmeandhavetwins!!!!(tickets)#coachella2015,sohappytoannouncethatmeandhavetwins!!!!(tickets)#coachella2015,sohappytoannouncethatmeandhavetwins!!!!(tickets)#coachella,sohappytoannouncethatmeandhavetwinsticketscoachella
positive,yes,JahhKobe,0,Super pumped for ACDC and Steely Dan #kickinitoldschoool #Coachella2015,,1/7/15 14:16,5.52952e+17,"Ashland, Oregon",Pacific Time (US & Canada),"['#kickinitoldschoool', '#Coachella2015']",[],SuperpumpedforACDCandSteelyDan#kickinitoldschoool#Coachella2015,SuperpumpedforACDCandSteelyDan#kickinitoldschoool#Coachella2015,SuperpumpedforACDCandSteelyDan#kickinitoldschoool#Coachella2015,superpumpedforacdcandsteelydan#kickinitoldschoool#coachella2015,superpumpedforacdcandsteelydan#kickinitoldschoool#coachella2015,superpumpedforacdcandsteelydan#kickinitoldschoool#coachella,superpumpedforacdcandsteelydankickinitoldschooolcoachella
positive,yes,mebullard1,0,Just got news we're going to #Coachella2015,,1/7/15 14:16,5.52952e+17,,,['#Coachella2015'],[],Justgotnewswe'regoingto#Coachella2015,Justgotnewswe'regoingto#Coachella2015,Justgotnewswe'regoingto#Coachella2015,justgotnewswe'regoingto#coachella2015,justgotnewswe'regoingto#coachella2015,justgotnewswe'regoingto#coachella,justgotnewsweregoingtocoachella
positive,yes,_caitbate_,0,LOL NVM YA BISH IS GOING TO #COACHELLA2015 #HALLELUJAH!!! http://t.co/kcLTkfhiiN,,1/7/15 14:14,5.52951e+17,New York City,Eastern Time (US & Canada),"['#COACHELLA2015', '#HALLELUJAH']",[],LOLNVMYABISHISGOINGTO#COACHELLA2015#HALLELUJAH!!!http://t.co/kcLTkfhiiN,LOLNVMYABISHISGOINGTO#COACHELLA2015#HALLELUJAH!!!,LOLNVMYABISHISGOINGTO#COACHELLA2015#HALLELUJAH!!!,lolnvmyabishisgoingto#coachella2015#hallelujah!!!,lolnvmyabishisgoingto#coachella2015#hallelujah!!!,lolnvmyabishisgoingto#coachella#hallelujah!!!,lolnvmyabishisgoingtocoachellahallelujah
positive,yes,RaphNasty,0,"If I got a #Coachella2015 ticket, how much better does that make me than you? #KingOfTheWhitePeople",,1/7/15 14:13,5.52951e+17,"San Diego, CA/Los Angeles, CA",,"['#Coachella2015', '#KingOfTheWhitePeople']",[],"IfIgota#Coachella2015ticket,howmuchbetterdoesthatmakemethanyou?#KingOfTheWhitePeople","IfIgota#Coachella2015ticket,howmuchbetterdoesthatmakemethanyou?#KingOfTheWhitePeople","IfIgota#Coachella2015ticket,howmuchbetterdoesthatmakemethanyou?#KingOfTheWhitePeople","ifigota#coachella2015ticket,howmuchbetterdoesthatmakemethanyou?#kingofthewhitepeople","ifigota#coachella2015ticket,howmuchbetterdoesthatmakemethanyou?#kingofthewhitepeople","ifigota#coachellaticket,howmuchbetterdoesthatmakemethanyou?#kingofthewhitepeople",ifigotacoachellatickethowmuchbetterdoesthatmakemethanyoukingofthewhitepeople
positive,yes,ChandlerMader,0,"I just got a casual text from my dad asking a simple question w/ an emoji ""what weekend were you thinking _Ù÷÷"" #Coachella2015åÀåÀåÀ @maderlife _ÙÕÄ","[47.33337043, -122.34953378]",1/7/15 14:11,5.52951e+17,,Arizona,['#Coachella2015åÀåÀåÀ'],[],"Ijustgotacasualtextfrommydadaskingasimplequestionw/anemoji""whatweekendwereyouthinking_Ù÷÷""#Coachella2015åÀåÀåÀ_ÙÕÄ","Ijustgotacasualtextfrommydadaskingasimplequestionw/anemoji""whatweekendwereyouthinking_Ù÷÷""#Coachella2015åÀåÀåÀ_ÙÕÄ","Ijustgotacasualtextfrommydadaskingasimplequestionw/anemoji""whatweekendwereyouthinking_""#Coachella2015_","ijustgotacasualtextfrommydadaskingasimplequestionw/anemoji""whatweekendwereyouthinking_""#coachella2015_","ijustgotacasualtextfrommydadaskingasimplequestionw/anemoji""whatweekendwereyouthinking_""#coachella2015_","ijustgotacasualtextfrommydadaskingasimplequestionw/anemoji""whatweekendwereyouthinking_""#coachella_",ijustgotacasualtextfrommydadaskingasimplequestionwanemojiwhatweekendwereyouthinkingcoachella
positive,yes,RiggsVida,0,When you find out Coachella is in 3 months are your getting ready to find celebrities #Coachella2015 _ÙÎ_,,1/7/15 14:11,5.52951e+17,,,['#Coachella2015'],[],WhenyoufindoutCoachellaisin3monthsareyourgettingreadytofindcelebrities#Coachella2015_ÙÎ_,WhenyoufindoutCoachellaisin3monthsareyourgettingreadytofindcelebrities#Coachella2015_ÙÎ_,WhenyoufindoutCoachellaisin3monthsareyourgettingreadytofindcelebrities#Coachella2015__,whenyoufindoutcoachellaisin3monthsareyourgettingreadytofindcelebrities#coachella2015__,whenyoufindoutcoachellaisin3monthsareyourgettingreadytofindcelebrities#coachella2015__,whenyoufindoutcoachellaisinmonthsareyourgettingreadytofindcelebrities#coachella__,whenyoufindoutcoachellaisinmonthsareyourgettingreadytofindcelebritiescoachella
positive,yes,_taBz,0,ITS OFFICIAL @nycbritt #Coachella2015   _ÙÕÝ_Ù_äÏ¬÷Ûü_ÙÔª_Ù_¦,,1/7/15 14:09,5.5295e+17,"Saskatoon, SK CANADA",Mountain Time (US & Canada),['#Coachella2015'],[],ITSOFFICIAL#Coachella2015_ÙÕÝ_Ù_äÏ¬÷Ûü_ÙÔª_Ù_¦,ITSOFFICIAL#Coachella2015_ÙÕÝ_Ù_äÏ¬÷Ûü_ÙÔª_Ù_¦,ITSOFFICIAL#Coachella2015______,itsofficial#coachella2015______,itsofficial#coachella2015______,itsofficial#coachella______,itsofficialcoachella
