,coachella_sentiment,coachella_yn,name,retweet_count,text,tweet_coord,tweet_created,tweet_id,tweet_location,user_timezone,hashtags
29,positive,yes,JahhKobe,0,Super pumped for ACDC and Steely Dan #kickinitoldschoool #Coachella2015,,1/7/15 14:16,5.52952e+17,"Ashland, Oregon",Pacific Time (US & Canada),"['#kickinitoldschoool', '#Coachella2015']"
30,positive,yes,mebullard1,0,Just got news we're going to #Coachella2015,,1/7/15 14:16,5.52952e+17,,,['#Coachella2015']
31,positive,yes,_caitbate_,0,LOL NVM YA BISH IS GOING TO #COACHELLA2015 #HALLELUJAH!!! http://t.co/kcLTkfhiiN,,1/7/15 14:14,5.52951e+17,New York City,Eastern Time (US & Canada),"['#COACHELLA2015', '#HALLELUJAH']"
32,positive,yes,RaphNasty,0,"If I got a #Coachella2015 ticket, how much better does that make me than you? #KingOfTheWhitePeople",,1/7/15 14:13,5.52951e+17,"San Diego, CA/Los Angeles, CA",,"['#Coachella2015', '#KingOfTheWhitePeople']"
33,positive,yes,ChandlerMader,0,"I just got a casual text from my dad asking a simple question w/ an emoji ""what weekend were you thinking _Ù÷÷"" #Coachella2015åÀåÀåÀ @maderlife _ÙÕÄ","[47.33337043, -122.34953378]",1/7/15 14:11,5.52951e+17,,Arizona,['#Coachella2015åÀåÀåÀ']
34,positive,yes,RiggsVida,0,When you find out Coachella is in 3 months are your getting ready to find celebrities #Coachella2015 _ÙÎ_,,1/7/15 14:11,5.52951e+17,,,['#Coachella2015']
35,positive,yes,_taBz,0,ITS OFFICIAL @nycbritt #Coachella2015   _ÙÕÝ_Ù_äÏ¬÷Ûü_ÙÔª_Ù_¦,,1/7/15 14:09,5.5295e+17,"Saskatoon, SK CANADA",Mountain Time (US & Canada),['#Coachella2015']
36,positive,yes,ashley_sfg,0,Just realized I'm off of work for #Coachella2015 weekend #2. I'M TOTALLY GOING!,,1/7/15 14:07,5.5295e+17,bay area,Pacific Time (US & Canada),"['#Coachella2015', '#2']"
37,positive,yes,Leetzle_,0,"ÛÏ@czechmayte: @Leetzle_ and I have our #Coachella2015 tickets... But now we need a place to camp bc tickets are sold out. Help us _Ù÷__Ù÷_Û

PLZZZ",,1/7/15 14:01,5.52948e+17,Bay Area,,['#Coachella2015']
38,positive,yes,CTooleSaysStuff,1,RT @_kendallwood: The #Coachella2015 lineup from @CTooleSaysStuff is so colorful and honest: http://t.co/VVhQLmWzWu via @EliteDaily,,1/7/15 14:01,5.52948e+17,,,['#Coachella2015']
39,positive,yes,czechmayte,0,@Leetzle_ and I have our #Coachella2015 tickets... But now we need a place to camp bc tickets are sold out. Help us _Ù÷__Ù÷_,,1/7/15 14:01,5.52948e+17,seein' stars *_*,,['#Coachella2015']
40,positive,yes,HannahhRay,1,RT @sierralkbabe: So psyched for #Coachella2015 with @HannahhRay _Ù÷,,1/7/15 14:00,5.52948e+17,AR  / TX ,Central Time (US & Canada),['#Coachella2015']
41,positive,yes,Kyra_IX,1,RT @Jammit08: See in the dessert @Kyra_IX @sammyslammr !!!!!! #Coachella2015 #RoundThree #Excited #ItsAllHappening,,1/7/15 14:00,5.52948e+17,Edmonton/Maskwacis,Mountain Time (US & Canada),"['#Coachella2015', '#RoundThree', '#Excited', '#ItsAllHappening']"
42,positive,yes,MicheleFin,0,Can't wait for #Coachella2015  _ÙÔÉ_ÙÎÛ_ÙÔÉ,"[42.36408252, -71.05697201]",1/7/15 13:58,5.52947e+17,Boston,Central Time (US & Canada),['#Coachella2015']
43,positive,yes,_kendallwood,1,The #Coachella2015 lineup from @CTooleSaysStuff is so colorful and honest: http://t.co/VVhQLmWzWu via @EliteDaily,,1/7/15 13:58,5.52947e+17,Nueva York,Quito,['#Coachella2015']
44,positive,yes,Clumsy_Gabby,0,I need to go to #Coachella2015,,1/7/15 13:57,5.52947e+17,"Auckland,NZ",,['#Coachella2015']
45,positive,yes,EricHoang_,1,"Someone sell me one car camping pass for Coachella weekend 2, please. #Coachella #Coachella2015 #Coachellatickets",,1/7/15 13:57,5.52947e+17,"space city, texas",Central Time (US & Canada),"['#Coachella', '#Coachella2015', '#Coachellatickets']"
46,positive,yes,ccbella_rover,0,Don't wanna jinx it but I have an Instagram agreement for my Coachella trade! :-) #coachella2015 #instatrade,,1/7/15 13:57,5.52947e+17,,Pacific Time (US & Canada),"['#coachella2015', '#instatrade']"
47,positive,yes,cristinaeromero,0,Your girl is going to #Coachella2015 _Ù÷È,,1/7/15 13:57,5.52947e+17,,,['#Coachella2015']
48,positive,yes,kuliano,1,RT @MaxG718: the LATEST #Coachella2015 lineup is too poppin' http://t.co/HsQSggoomc http://t.co/yBIbpxnsdm,,1/7/15 13:54,5.52946e+17,New York City,Eastern Time (US & Canada),['#Coachella2015']
49,positive,yes,atia1126,0,Putting it in my plans to go see my boo @Drake at #Coachella2015,,1/7/15 13:54,5.52946e+17,LA FL DMV ATL NYC,Quito,['#Coachella2015']
50,positive,yes,hannah_frog,1,RT @zzzach_scott: See you in 99 days #Coachella2015 @hannah_frog http://t.co/dib4iCsyWh,,1/7/15 13:53,5.52946e+17,SoccerÛ¢ë_ë_ëÒ,Central Time (US & Canada),['#Coachella2015']
51,positive,yes,joshua_aen,0,Got my weekend 2 pass for #coachella2015.  Pumped to be marking this #music festival off myÛ_ http://t.co/kkx94sYJV0,,1/7/15 13:52,5.52946e+17,"Denver, Colorado",Mountain Time (US & Canada),"['#coachella2015', '#music']"
52,positive,yes,BenjaminSimons,0,Still trying to find tickets for #Coachella2015 so hmu if you're selling!,,1/7/15 13:52,5.52946e+17,IV,Pacific Time (US & Canada),['#Coachella2015']
53,positive,yes,LANGMarMendoza,0,"@RMSpuhler @mimi3000 @meiwen_liang You've been quoted in my #Storify story ""#Coachella2015 tickets sold out"" http://t.co/QP4TZWCIxL",,1/7/15 13:51,5.52946e+17,"Los Angeles, Calif.",Hawaii,"['#Storify', '#Coachella2015']"
54,positive,yes,ihoppermeredith,0,"If anyone has an extra Car Camping ticket, hit me up, our group needs one! #Coachella #Coachella2015 #Coachellatickets",,1/7/15 13:51,5.52946e+17,"Tempe, AZ",Pacific Time (US & Canada),"['#Coachella', '#Coachella2015', '#Coachellatickets']"
55,positive,yes,model_life2015,8,RT @Modelinia: The #Coachella2015 lineup has arrived! Here are 10 acts you MUST see at this year's festival: http://t.co/IWzxoxfiHj http://Û_,,1/7/15 13:50,5.52945e+17,,,['#Coachella2015']
56,positive,yes,_Belmarie,16,RT @OurFemaleRebel: Miley's getting ready for #Coachella2015 Bleach Blonde it is             _ÙÕà_ÙÕÉ_ÙÔ± http://t.co/k1MvQpRJyL,,1/7/15 13:49,5.52945e+17,,,['#Coachella2015']
57,positive,yes,FKB__,2,RT @JSterns7: Looking to buy a weekend one @coachella pass #coachella #Coachella2015 @TexasEDMFamily,,1/7/15 13:47,5.52945e+17,,Eastern Time (US & Canada),"['#coachella', '#Coachella2015']"
58,positive,yes,_jennster21,0,I regret buying #EDCLV tickets... I want to go to Coachella so so bad!!!! _Ù÷__Ù÷__Ù÷_ who wants two edc tickets!?! #insomniac #Coachella2015 _ÙÕÐ_ÙÕÐ_ÙÕÐ_Ùª,,1/7/15 13:47,5.52945e+17,,,"['#EDCLV', '#insomniac', '#Coachella2015']"
59,positive,yes,cruznkenga,0,Weekend 2 baby #Coachella2015 #wk2 #,,1/7/15 13:46,5.52944e+17,"Coachella, Ca",,"['#Coachella2015', '#wk2']"
60,positive,yes,isaafreak,0,#Coachella2015 week two YAAAAASSSSSSSS!!!! @xMusicalCells _ÙÎÈ_ÙÎÈ_Ù÷_Ù÷_Ù÷_Ù÷_Ù÷Ý_Ù÷Ý_Ù÷Ý_Ù÷,,1/7/15 13:45,5.52944e+17,,Alaska,['#Coachella2015']
61,positive,yes,Jammit08,1,See in the dessert @Kyra_IX @sammyslammr !!!!!! #Coachella2015 #RoundThree #Excited #ItsAllHappening,,1/7/15 13:45,5.52944e+17,Maskwacis Ab Canada,Arizona,"['#Coachella2015', '#RoundThree', '#Excited', '#ItsAllHappening']"
62,positive,yes,ShayneOfficial,1,RT @sleazystfn: Guess is who is gonna wiggle wiggle at coachella! @chHELLOVENUS #Coachella2015 #Coachella #kpop #hellovenus http://t.co/19XÛ_,,1/7/15 13:44,5.52944e+17,"Bay Area, California",Pacific Time (US & Canada),"['#Coachella2015', '#Coachella', '#kpop', '#hellovenus']"
63,positive,yes,LeManbun_Vinh,0,See y'all at Coachella _Ù÷÷ #Coachella2015,"[32.85934729, -117.22100518]",1/7/15 13:44,5.52944e+17,San Diego,,['#Coachella2015']
64,positive,yes,_Kellavilla,1,RT @heyittsdreah: @_Kellavilla Soon _ÙÕ¥_ÙÎ«Ý¼_Ù_Á #Coachella2015,,1/7/15 13:43,5.52944e+17,,,['#Coachella2015']
65,positive,yes,MissGallo,0,Two words you never want to see...#Coachella2015 http://t.co/ziAviNDVfD,"[0.0, 0.0]",1/7/15 13:42,5.52943e+17,NYC | LA | SF,Quito,['#Coachella2015']
66,positive,yes,RavingGanja,4,RT @booyouwhores: so yeah IÛªm looking for a weekend 1 coachella ticket! please RT to help me find one thanks #Coachella2015 #coachellaforsaÛ_,,1/7/15 13:42,5.52943e+17,Wonderland,,"['#Coachella2015', '#coachellaforsa']"
67,positive,yes,CachuWinkyface,0,"looking for two GA #Coachella #Coachella2015 tickets + car camping
#crychella2k15",,1/7/15 13:42,5.52943e+17,,Pacific Time (US & Canada),"['#Coachella', '#Coachella2015', '#crychella2k15']"
68,positive,yes,vanneciaa,0,So #Coachella2015 is actually happening_Ùª,"[26.29515919, -80.19953947]",1/7/15 13:39,5.52943e+17,,Eastern Time (US & Canada),['#Coachella2015']
69,positive,yes,silvertonguee,1,"RT @allison_huntley: Okay, here I fixed it #FifthHarmony #Coachella #Coachella2015 http://t.co/3tnGJqhqKt",,1/7/15 13:37,5.52942e+17,Los Angeles,Pacific Time (US & Canada),"['#FifthHarmony', '#Coachella', '#Coachella2015']"
70,positive,yes,kendall_paige,2,"RT @elithekidd: Looking for #coachella2015 passes 
Ï¬Someone be my savior please Ï¬",,1/7/15 13:33,5.52941e+17,"San Luis Obispo, CA",Pacific Time (US & Canada),['#coachella2015']
71,positive,yes,Pimp_Down_,1,RT @nick_thaAnimal: If it comes down to it I'll go James Bond mode #Coachella2015,,1/7/15 13:32,5.52941e+17,"City of Festivals, Cali",Arizona,['#Coachella2015']
72,positive,yes,whitbarb912,0,I'm ready for #Coachella2015,,1/7/15 13:32,5.52941e+17,Los Angeles,Pacific Time (US & Canada),['#Coachella2015']
73,positive,yes,lexander_tran,0,See y'all @ #Coachella2015 _Ù÷__Ù_¦ http://t.co/JJwPyNsetu,,1/7/15 13:31,5.52941e+17,,,['#Coachella2015']
74,positive,yes,elithekidd,2,"Looking for #coachella2015 passes 
Ï¬Someone be my savior please Ï¬",,1/7/15 13:31,5.52941e+17,Los Angeles // Marina Del Rey ,,['#coachella2015']
75,positive,yes,WaGaBakgatla,0,"I want to write an essay, but I won't. #Coachella2015 http://t.co/tQERsD99BZ",,1/7/15 13:25,5.52939e+17,Worldwide,Greenland,['#Coachella2015']
76,positive,yes,PK_Ike,0,@PK_Ike: Looking to buy a coachella car camping pass for weekend 2! Hmu #COACHELLA #Coachella2015 #carcamping,"[33.83427916, -118.34772251]",1/7/15 13:25,5.52939e+17,"ÌÏT: 33.7945952,-118.1414693",Pacific Time (US & Canada),"['#COACHELLA', '#Coachella2015', '#carcamping']"
77,positive,yes,_jogayle,0,So want to go to #Coachella2015  especially with @Drake and @FKAtwigs announced!,,1/7/15 13:25,5.52939e+17,london,Casablanca,['#Coachella2015']
78,positive,yes,HollywoodIC,0,#Coachella2015 Whoa! The Weeknd &amp; Drake performing!!,,1/7/15 13:24,5.52939e+17,,Eastern Time (US & Canada),['#Coachella2015']
79,positive,yes,RogerCraigSmith,2,"Dig these guys much! Can't wait to see them at #Coachella2015!
Two dudes creating incredible sounds.
@royalblooduk 
https://t.co/3tjZwbarUA",,1/7/15 13:24,5.52939e+17,Los Angeles,Pacific Time (US & Canada),['#Coachella2015']
80,positive,yes,jngarland,0,got my #Coachella2015 Weekend 2 tickets! Can't wait to cross this off my bucket list!,,1/7/15 13:22,5.52938e+17,oakland california,Central Time (US & Canada),['#Coachella2015']
81,positive,yes,Just_Twigs,0,FinallyÛ_ #Coachella2015 Week 2 here we come.,,1/7/15 13:22,5.52938e+17,,Eastern Time (US & Canada),['#Coachella2015']
82,positive,yes,aloh25,0,COACHELLA I'm coming for ya! _Ù÷_ #coachella2015 #hellyeah http://t.co/U7yqB9kvPu,,1/7/15 13:22,5.52938e+17,,,"['#coachella2015', '#hellyeah']"
83,positive,yes,Jacob_Walter997,260,RT @kaskade: ÛÏ@Forever21: The lineup is here! #Coachella2015 http://t.co/tNOrBbvUfzÛ Cue the flower headband display front + center!,,1/7/15 13:20,5.52938e+17,,Arizona,['#Coachella2015']
84,positive,yes,shkuhbr,0,IF YOURE SELLING #Coachella2015  WEEK 2 PASS HMU!!!!!!!,"[34.14791893, -117.46578989]",1/7/15 13:19,5.52938e+17,,,['#Coachella2015']
85,positive,yes,cee__mariee,4,RT @MonicaFulmer: FUCK ME DUDE I WANT TO GO SO BADDDDD #Coachella2015 http://t.co/bHIxOJirow,,1/7/15 13:19,5.52938e+17,Iowa,Central Time (US & Canada),['#Coachella2015']
86,positive,yes,RyanCortezz,0,ÛÏ@MyDesert: .@coachella festival passes sell out in 38 minutes http://t.co/GyrlxL4JMn #Coachella2015Û @maddiepenaa _ÙÔÛ,,1/7/15 13:19,5.52938e+17,Coachella... The Velvet Rope,Pacific Time (US & Canada),['#Coachella2015']
87,positive,yes,Ruth_in_dubai,0,Might as well plan ahead for April non? Happy early 40th birthday to moi! From moi! #coachella2015Û_ http://t.co/NczeWEMG48,,1/7/15 13:19,5.52937e+17,"Dubai, UAE",Quito,['#coachella2015']
88,positive,yes,cassieclauser,0,All I have to say is thank god for presale &amp; @EricaTabano #Coachella2015,,1/7/15 13:18,5.52937e+17,,Pacific Time (US & Canada),['#Coachella2015']
89,positive,yes,Hanjcksn,0,I honestly just want to see Steely Dan... #Coachella2015,,1/7/15 13:17,5.52937e+17,,Central Time (US & Canada),['#Coachella2015']
90,positive,yes,VickyOrdsmith,1,@katrina0801 @coachella way to start of the new year! #coachella2015,,1/7/15 13:17,5.52937e+17,Manchester,Amsterdam,['#coachella2015']
91,positive,yes,maya_says_,0,dreaming of LaLa land with @mattyod tonight @coachella #Coachella2015,,1/7/15 13:13,5.52936e+17,toronto,,['#Coachella2015']
92,positive,yes,NotJack4,1,RT @JamesAppleg8: @Axwell @Ingrosso @SteveAngello  there should be an epic reunion at #Coachella2015,,1/7/15 13:11,5.52935e+17,Long Beach,Arizona,['#Coachella2015']
93,positive,yes,CatfoodBeerGlue,0,"Some people vacation in Hawaii every year, some go to Europe, and I choose to poo in a 110F port-a-potty for 4 days. #Coachella2015",,1/7/15 13:10,5.52935e+17,"Yay Area, CA",Pacific Time (US & Canada),['#Coachella2015']
94,positive,yes,LANGMarMendoza,15,#Coachellatickets sold out in less than 40 mins. Did you get yours? #Coachella2015 @coachella http://t.co/th1y4k3v6y,,1/7/15 13:07,5.52935e+17,"Los Angeles, Calif.",Hawaii,"['#Coachellatickets', '#Coachella2015']"
95,positive,yes,AmandaGabrielle,0,I could cry of happiness _Ù÷©_Ù÷©_Ù÷©_Ù÷©_Ù÷© #Coachella2015,,1/7/15 13:07,5.52935e+17,"Staten Island, NY",Central Time (US & Canada),['#Coachella2015']
96,positive,yes,JustChelseaB,0,Great line up for #Coachella2015 who's going to Coachella this year??,,1/7/15 13:07,5.52935e+17,,Eastern Time (US & Canada),['#Coachella2015']
97,positive,yes,JVR24_,0,"Artists that I didn't know that stuck out to me. ""&gt;"" are a must see for me. #Coachella2015 http://t.co/Z9g6iAFQgM",,1/7/15 13:06,5.52934e+17,90011,Alaska,['#Coachella2015']
98,positive,yes,JamesAppleg8,1,@Axwell @Ingrosso @SteveAngello  there should be an epic reunion at #Coachella2015,,1/7/15 13:06,5.52934e+17,,,['#Coachella2015']
99,positive,yes,Waltraud9141,1,RT @koufaxmusic: something for your ears while you wait on the standby page #Coachella #Coachella2015 https://t.co/3vhd4Ckuxf,,1/7/15 13:05,5.52934e+17,Mississippi,,"['#Coachella', '#Coachella2015']"
100,positive,yes,jaclynLsmith,0,https://t.co/dot8qgvwDp @zayngos_mangos !!!! #Coachella2015 is calling our names!,,1/7/15 13:05,5.52934e+17,Pittsburgh / Scranton PA,Central Time (US & Canada),['#Coachella2015']
101,positive,yes,mirandaevargas,0,Weekend 1 _Ù÷Ï_Ù_¦ #Coachella2015 #camping,"[33.84938423, -117.57429832]",1/7/15 13:05,5.52934e+17,Southern California,Pacific Time (US & Canada),"['#Coachella2015', '#camping']"
102,positive,yes,camille_perich,1,Sold a part of my soul when I purchased my Coachella ticket but I really could care less #Coachella2015 _Ù÷__Ù÷_,"[37.70626024, -121.95709504]",1/7/15 13:04,5.52934e+17,ÒÙÒ÷Û¢ÒÔÒÓÒ£ÒÛ¢ÒÙÒÑÒ÷Û¢Ò¢ÒÒÒ¢Ò_,Arizona,['#Coachella2015']
103,positive,yes,joyceekim,0,So no one ask me to hang out or do any fun things w them that require money until summer bc #Coachella2015 just left me _Ù÷__ÙÕÛ #brokeaf,,1/7/15 13:04,5.52934e+17,,,"['#Coachella2015', '#brokeaf']"
104,positive,yes,caaiiit_,0,ÛÏ@jaywoodzs: Honestly just got an adrenaline rush from fucking getting my tickets #coachella2015 @caaiiit_Û God bless,"[33.75078394, -118.30769944]",1/7/15 13:03,5.52934e+17,,Pacific Time (US & Canada),['#coachella2015']
105,positive,yes,bradphillips004,0,Just got tickets to #Coachella2015! So freaking excited. Can we just cancel Jan/Feb/Mar and skip straight to April already?!?!,,1/7/15 13:02,5.52933e+17,"Melbourne, Australia",Melbourne,['#Coachella2015']
106,positive,yes,Aidansahota,0,Buzzing.... _Ù÷_Ù÷_Ù÷_Ù÷_Ù÷.. Can Not wait For April 17th.. _ÙÕÄ_ÙÔø_ÙÔø_Ù_¤_Ù___Ù__ #Coachella2015,,1/7/15 13:02,5.52933e+17,London,Casablanca,['#Coachella2015']
107,positive,yes,xMissTaylor,0,One day I will travel to the USA to go to Coachella _Ùà¼_Ùàü #Coachella2015 #MakeItHappen,,1/7/15 13:01,5.52933e+17,Bristol ,London,"['#Coachella2015', '#MakeItHappen']"
108,positive,yes,simonepedretti1,0,The worst text you'll ever receive #Coachella2015 http://t.co/KEsCyT4xwU,,1/7/15 13:01,5.52933e+17,San Diego,,['#Coachella2015']
109,positive,yes,sierralkbabe,1,So psyched for #Coachella2015 with @HannahhRay _Ù÷,,1/7/15 13:01,5.52933e+17,the last frontier,,['#Coachella2015']
110,positive,yes,itserikestrada,0,Wait. #Coachella2015 made me broke _ÙÕü,,1/7/15 13:00,5.52933e+17,"Los Angeles, CA",Pacific Time (US & Canada),['#Coachella2015']
111,positive,yes,DrumsandBluntsS,0,Ya bitches .. #Coachella2015 http://t.co/UvzWoqxujo,,1/7/15 13:00,5.52933e+17,LA,,['#Coachella2015']
112,positive,yes,AmandaaaSimon,1,ÛÏ@PipaVal: Iz happeninnn #Coachella2015 Ï¬ http://t.co/S1aHN99DoQÛ CAN'T WAIT,,1/7/15 12:59,5.52933e+17,Miami,Atlantic Time (Canada),['#Coachella2015']
113,positive,yes,BigSmokes5,0,@porterrobinson I BOUGHT MY COACHELLA TICKET TO SEE YOU PERFORM WORLDS LIVE. I gotta hear you sing lionhearted dude! #Worlds #Coachella2015,,1/7/15 12:58,5.52932e+17,,,"['#Worlds', '#Coachella2015']"
114,positive,yes,thuymahp,0,Tickets are officially booked for Coachella! #STOKED #coachella2015 #happydance http://t.co/KEKnO9Hdoy,,1/7/15 12:57,5.52932e+17,,Central Time (US & Canada),"['#STOKED', '#coachella2015', '#happydance']"
115,positive,yes,Lana_del_slaay,0,"If I don't get #Coachella  tickets, I WILL FUCKING DIE! #Coachella2015",,1/7/15 12:56,5.52932e+17,Planet Froot,Atlantic Time (Canada),"['#Coachella', '#Coachella2015']"
116,positive,yes,kaeaboy,0,Well I'm going bananas right now _Ù÷_Ù_Á_ÙÎÉ_Ù_¦ #Coachella2015 http://t.co/Q3ybvSfZJj,,1/7/15 12:56,5.52932e+17,Maui | OC,Pacific Time (US & Canada),['#Coachella2015']
117,positive,yes,JackkLangan,0,The new #Coachella line up! Would love to be going!_Ù÷´_Ùà¼_Ùàü_Ùªö #Coachella2015 http://t.co/fyTezrWjYe,,1/7/15 12:55,5.52932e+17,"Ireland, Co.Mayo!",Dublin,"['#Coachella', '#Coachella2015']"
118,positive,yes,KatiaGarciaSan,0,Now I need an airplane ticket and a hotel #Coachella2015,,1/7/15 12:55,5.52932e+17,MÌ©xico,Mexico City,['#Coachella2015']
